row_label_raw,row_label_full,Ông Bùi Ngoc Bao,Chú tich,numeric__Chú tich
Ông Nguyen Thanh Son,Ông Nguyen Thanh Son,Ông Nguyen Thanh Son,Uy viên,
Ông Pham Duc Thang,Ông Pham Duc Thang,Ông Pham Duc Thang,Uy viên (tù ngày 23/6/2016),
Ông Tràn Ngoc Nam,Ông Tràn Ngoc Nam,Ông Tràn Ngoc Nam,Uy viên (tù ngày 23/6/2016),
Ông Lê Vân Hóng,Ông Lê Vân Hóng,Ông Lê Vân Hóng,Uy viên (tù ngày 23/6/2016),
Ông Nguyen Anh Dung,Ông Nguyen Anh Dung,Ông Nguyen Anh Dung,Uy viên (tù ngày 23/6/2016),
Ông Vú Bá Phú,Ông Vú Bá Phú,Ông Vú Bá Phú,Uy viên (tù ngày 23/6/2015),
Ông Hitoshi Kato,Ông Hitoshi Kato,Ông Hitoshi Kato,Uy viên (tù ngày 23/6/2016),
Ông Tràn Văn Thinh,Ông Tràn Văn Thinh,Ông Tràn Văn Thinh,Uy viên (dèn ngày 22/6/2016),
Ông Nguyen Quang Kiên,Ông Nguyen Quang Kiên,Ông Nguyen Quang Kiên,Uy viên (dèn ngày 22/6/2016),
Ông Vuong Thái Dung,Ông Vuong Thái Dung,Ông Vuong Thái Dung,Uy viên (dèn ngày 22/6/2016),
Ông Dinh Thái Huong,Ông Dinh Thái Huong,Ông Dinh Thái Huong,Uy viên (dèn ngày 22/6/2016),
Ông Tràn Văn Thang,Ông Tràn Văn Thang,Ông Tràn Văn Thang,Uy viên (dèn ngày 22/6/2016),
