row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sâncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sâncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Nguyên giá > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,10.858.342.646.624,3.349.551.128.654,11.173.749.772.503,402.066.719.797,30.733.877.777,25.814.444.145.355,10858342646624.0,3349551128654.0,11173749772503.0,402066719797.0,30733877777.0,25814444145355.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,213.468.696.977,217.500.583.861,815.758.534.493,64.114.963.687,1.509.132.343,1.312.351.911.361,213468696977.0,217500583861.0,815758534493.0,64114963687.0,1509132343.0,1312351911361.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,1.939.205.521,978.000.000,-,-,-,2.917.205.521,1939205521.0,978000000.0,,,,2917205521.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,586.031.039.701,122.179.922.534,602.394.268.626,20.024.659.558,742.995.915,1.331.372.886.334,586031039701.0,122179922534.0,602394268626.0,20024659558.0,742995915.0,1331372886334.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(8.793.158.874),-,-,-,-,(8.793.158.874),-8793158874.0,,,,,-8793158874.0
Chuyển sang chi phí trả trước,Nguyên giá > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(5.920.403.110),-,-,-,-,(5.920.403.110),-5920403110.0,,,,,-5920403110.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(79.947.963.721),(31.761.051.301),(103.593.528.810),(5.844.933.824),(1.009.065.409),(222.156.543.065),-79947963721.0,-31761051301.0,-103593528810.0,-5844933824.0,-1009065409.0,-222156543065.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(29.323.142),-,(55.466.750),-,(84.789.892),,-29323142.0,,-55466750.0,,-84789892.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,1.470.415.615,4.206.604.798,93.727.754,(247.945.225),(5.482.498.922),40.304.020,1470415615.0,4206604798.0,93727754.0,-247945225.0,-5482498922.0,40304020.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.566.590.478.733,3.662.625.865.404,12.488.402.774.566,480.057.997.243,26.494.441.704,28.224.171.557.650,11566590478733.0,3662625865404.0,12488402774566.0,480057997243.0,26494441704.0,28224171557650.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị hao mòn lũy kế > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,4.749.342.944.563,2.005.966.297.291,5.778.231.187.629,265.043.712.788,14.476.901.150,12.813.061.043.421,4749342944563.0,2005966297291.0,5778231187629.0,265043712788.0,14476901150.0,12813061043421.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,624.596.949.923,313.374.861.818,847.841.141.898,59.735.679.488,2.683.711.113,1.848.232.344.240,624596949923.0,313374861818.0,847841141898.0,59735679488.0,2683711113.0,1848232344240.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(3.451.392.989),-,-,-,-,(3.451.392.989),-3451392989.0,,,,,-3451392989.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(52.706.793.903),(30.504.044.536),(94.173.527.225),(6.078.516.642),(570.239.548),(184.033.121.854),-52706793903.0,-30504044536.0,-94173527225.0,-6078516642.0,-570239548.0,-184033121854.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(29.323.142),-,(55.466.750),-,(84.789.892),,-29323142.0,,-55466750.0,,-84789892.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(616.803.221),1.799.766.420,(205.001.293),(287.805.738),(1.618.453.640),(928.297.472),-616803221.0,1799766420.0,-205001293.0,-287805738.0,-1618453640.0,-928297472.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.317.164.904.373,2.290.607.557.851,6.531.693.801.009,318.357.603.146,14.971.919.075,14.472.795.785.454,5317164904373.0,2290607557851.0,6531693801009.0,318357603146.0,14971919075.0,14472795785454.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
