row_label_raw,row_label_full,col_0,1/1/2016(theo bảo cáotrước đíy)VND,1/1/2016(diều chỉnh củaKiểm toán Nhà nước)VND,1/1/2016(dã điều chỉnh theoKiểm toán Nhà nước)VND,numeric__1/1/2016(theo bảo cáotrước đíy)VND,numeric__1/1/2016(diều chỉnh củaKiểm toán Nhà nước)VND,numeric__1/1/2016(dã điều chỉnh theoKiểm toán Nhà nước)VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,73.173.817.050,(3.509.275.000),69.664.542.050,73173817050.0,-3509275000.0,69664542050.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,(24.954.555.952),6.548.375.000,(18.406.180.952),-24954555952.0,6548375000.0,-18406180952.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,4.935.621.593.291,20.309.105.460,4.955.930.698.751,4935621593291.0,20309105460.0,4955930698751.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,567.051.133.674,(9.472.898.000),557.578.235.674,567051133674.0,-9472898000.0,557578235674.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.951.213.184.259,6.451.311.235,1.957.664.495.494,1951213184259.0,6451311235.0,1957664495494.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,(413.969.981.903),1.736.656.718,(412.233.325.185),-413969981903.0,1736656718.0,-412233325185.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,7.747.703.298.232,(22.562.885.161),7.725.140.413.071,7747703298232.0,-22562885161.0,7725140413071.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(133.208.093.494),25.417.987.293,(107.790.106.201),-133208093494.0,25417987293.0,-107790106201.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,244.958.495.348,10.750.569.891,255.709.065.239,244958495348.0,10750569891.0,255709065239.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,312.400.868.845,558.000.000,312.958.868.845,312400868845.0,558000000.0,312958868845.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,538.563.097.544,381.361.999.353,919.925.096.897,538563097544.0,381361999353.0,919925096897.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,896.836.501.018,316.620.706,897.153.121.724,896836501018.0,316620706.0,897153121724.0
Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,25.798.787.494.537,15.656.650.818,25.814.444.145.355,25798787494537.0,15656650818.0,25814444145355.0
Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,(12.812.544.182.765),(516.860.656),(12.813.061.043.421),-12812544182765.0,-516860656.0,-12813061043421.0
Tài sản cố định vô hình – giá trị hao mòn lũy kế,Tài sản cố định vô hình – giá trị hao mòn lũy kế,Tài sản cố định vô hình – giá trị hao mòn lũy kế,(436.546.236.805),(254.803.909),(436.801.040.714),-436546236805.0,-254803909.0,-436801040714.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,695.206.490.075,5.184.348.991,700.390.839.066,695206490075.0,5184348991.0,700390839066.0
"Đầu tư vào các công ty liên dcạnh, liên kết","Đầu tư vào các công ty liên dcạnh, liên kết","Đầu tư vào các công ty liên dcạnh, liên kết",2.264.221.973.376,(5.443.425.308),2.258.778.548.068,2264221973376.0,-5443425308.0,2258778548068.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,344.701.680.616,3.750.000.000,348.451.680.616,344701680616.0,3750000000.0,348451680616.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(119.003.169.023),2.838.336.567,(116.164.832.456),-119003169023.0,2838336567.0,-116164832456.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.362.455.542.535,(18.715.887.420),1.343.739.655.115,1362455542535.0,-18715887420.0,1343739655115.0
Tài sản thuê thu nhập hoãn lại,Tài sản thuê thu nhập hoãn lại,Tài sản thuê thu nhập hoãn lại,4.820.108.228,5.646.839.113,10.466.947.341,4820108228.0,5646839113.0,10466947341.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,7.012.427.989,4.634.409.234,11.646.837.223,7012427989.0,4634409234.0,11646837223.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,8.730.828.872.392,2.526.080.264,8.733.354.952.656,8730828872392.0,2526080264.0,8733354952656.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,770.491.208.057,9.102.000,770.500.310.057,770491208057.0,9102000.0,770500310057.0
