row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy vi tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy vi tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.207.866.371.655,13.452.728.210,421.717.386.624,21.399.158.807,2.664.435.645.296,2207866371655.0,13452728210.0,421717386624.0,21399158807.0,2664435645296.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,131.087.739.808,354.446.000,41.994.539.632,515.806.700,173.952.532.140,131087739808.0,354446000.0,41994539632.0,515806700.0,173952532140.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,33.377.152.226,-,7.336.749.074,194.559.000,40.908.460.300,33377152226.0,,7336749074.0,194559000.0,40908460300.0
Chuyển sang bắt đông sản đầu tư,Nguyên giá > Chuyển sang bắt đông sản đầu tư,Chuyển sang bắt đông sản đầu tư,(35.971.306.906),-,-,-,(35.971.306.906),-35971306906.0,,,,-35971306906.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(373.185.562.135),-,-,-,(373.185.562.135),-373185562135.0,,,,-373185562135.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(4.413.030.709),(11.803.500),(2.241.933.128),(510.587.800),(7.177.355.137),-4413030709.0,-11803500.0,-2241933128.0,-510587800.0,-7177355137.0
Điều chỉnh giảm (*),Nguyên giá > Điều chỉnh giảm (*),Điều chỉnh giảm (*),(78.218.617.966),-,-,-,(78.218.617.966),-78218617966.0,,,,-78218617966.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(2.079.520.000),-,(73.850.000),(1.338.351.249),(3.491.721.249),-2079520000.0,,-73850000.0,-1338351249.0,-3491721249.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(5.940.455.541),(136.303.510),(9.314.929.030),7.088.845.322,(8.302.842.759),-5940455541.0,-136303510.0,-9314929030.0,7088845322.0,-8302842759.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.872.522.770.432,13.659.067.200,459.417.963.172,27.349.430.780,2.372.949.231.584,1872522770432.0,13659067200.0,459417963172.0,27349430780.0,2372949231584.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị hao mòn lũy kế > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,180.987.354.973,5.285.692.752,232.812.763.416,17.715.229.573,436.801.040.714,180987354973.0,5285692752.0,232812763416.0,17715229573.0,436801040714.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,27.760.145.085,1.282.136.711,82.580.270.993,1.467.223.182,113.089.775.971,27760145085.0,1282136711.0,82580270993.0,1467223182.0,113089775971.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(66.067.192.603),-,-,-,(66.067.192.603),-66067192603.0,,,,-66067192603.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(568.322.802),(11.803.500),(2.184.232.585),(510.587.800),(3.274.946.687),-568322802.0,-11803500.0,-2184232585.0,-510587800.0,-3274946687.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(194.617.241),-,-,(731.483.149),(926.100.390),-194617241.0,,,-731483149.0,-926100390.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,87.676.489,561.146.672,(1.692.719.911),(327.529.480),(1.371.426.230),87676489.0,561146672.0,-1692719911.0,-327529480.0,-1371426230.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,142.005.043.901,7.117.172.635,311.516.081.913,17.612.852.326,478.251.150.775,142005043901.0,7117172635.0,311516081913.0,17612852326.0,478251150775.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị còn lại > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,2.026.879.016.682,8.167.035.458,188.904.623.208,3.683.929.234,2.227.634.604.582,2026879016682.0,8167035458.0,188904623208.0,3683929234.0,2227634604582.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.730.517.726.531,6.541.894.565,147.901.881.259,9.736.578.454,1.894.698.080.809,1730517726531.0,6541894565.0,147901881259.0,9736578454.0,1894698080809.0
