row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Kinh doanh các sản phẩm hóa dầu,Kinh doanh các sản phẩm gas,Kinh doanh dịch vụ basis hiểm,Kinh doanh dịch vụ vận tải,"Kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng (Dã điều chỉnh lại),numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Kinh doanh các sản phẩm hóa dầu,numeric__Kinh doanh các sản phẩm gas,numeric__Kinh doanh dịch vụ basis hiểm,numeric__Kinh doanh dịch vụ vận tải,"numeric__Kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng (Dã điều chỉnh lại)
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Kinh doanh các sản phẩm hóa dầu,Kinh doanh các sản phẩm gas,Kinh doanh dịch vụ basis hiểm,Kinh doanh dịch vụ vận tải,"Kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng (Dã điều chỉnh lại),,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.929.192.511.084,822.245.314.191,1.335.175.091.627,55.824.604.848,176.116.728.592,447.630.466.227,522.488.476.282,-,11.288.673.192.851,7929192511084.0,822245314191.0,1335175091627.0,55824604848.0,176116728592.0,447630466227.0,522488476282.0,,11288673192851.0
Các khoản đầu tư tài chính ngắn hạn,Tài sản > Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,2.316.350.000,-,-,412.610.000.000,1.569.976.225.295,28.791.737.742,62.733.121.646,(97.087.692.407),1.979.339.742.276,2316350000.0,,,412610000000.0,1569976225295.0,28791737742.0,62733121646.0,-97087692407.0,1979339742276.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,5.061.875.305.175,3.488.736.394.346,1.086.675.843.180,257.846.479.477,373.147.822.382,373.980.023.808,1.101.808.817.282,(4.683.913.056.294),7.060.157.629.356,5061875305175.0,3488736394346.0,1086675843180.0,257846479477.0,373147822382.0,373980023808.0,1101808817282.0,-4683913056294.0,7060157629356.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,5.472.301.293.022,213.345.409.070,925.723.382.088,126.887.073.553,11.723.736.562,291.475.622.973,640.288.783.782,(64.394.994.180),7.617.350.306.870,5472301293022.0,213345409070.0,925723382088.0,126887073553.0,11723736562.0,291475622973.0,640288783782.0,-64394994180.0,7617350306870.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.197.005.027.380,19.944.188.836,37.638.821.584,15.444.559.295,976.262.176.292,69.828.826.851,56.454.531.783,13.168.020.684,2.385.746.152.705,1197005027380.0,19944188836.0,37638821584.0,15444559295.0,976262176292.0,69828826851.0,56454531783.0,13168020684.0,2385746152705.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,168.445.868.269,5.741.882.286,319.527.155,947.589.259,10.239.947.567,4.707.032.876,1.088.591.696,(163.968.939.186),27.521.499.922,168445868269.0,5741882286.0,319527155.0,947589259.0,10239947567.0,4707032876.0,1088591696.0,-163968939186.0,27521499922.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.171.074.100.287,445.332.957.210,438.339.568.713,401.627.743.056,387.235.575.375,4.214.802.980.324,2.434.811.163.783,(264.206.382.232),15.229.017.706.516,7171074100287.0,445332957210.0,438339568713.0,401627743056.0,387235575375.0,4214802980324.0,2434811163783.0,-264206382232.0,15229017706516.0
