row_label_raw,row_label_full,col_0,Võ bình gas VND,Lợi thể kính doanh liên quan đến cổ phần hóa VND,Tiền thuê đất VND,Chi phí sửa chữa lợm tài san VND,"Công cụ, dụng cụ VND",Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Võ bình gas VND,numeric__Lợi thể kính doanh liên quan đến cổ phần hóa VND,numeric__Tiền thuê đất VND,numeric__Chi phí sửa chữa lợm tài san VND,"numeric__Công cụ, dụng cụ VND",numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm– đã điều chỉnh lại,Số dư đầu năm– đã điều chỉnh lại,Số dư đầu năm– đã điều chỉnh lại,270.473.666.515,325.284.203.517,223.518.666.280,69.704.477.838,91.892.848.936,362.865.792.029,1.343.739.655.115,270473666515.0,325284203517.0,223518666280.0,69704477838.0,91892848936.0,362865792029.0,1343739655115.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,60.472.847.187,-,217.132.118.274,99.835.381.577,139.626.046.395,131.773.927.239,648.840.320.672,60472847187.0,,217132118274.0,99835381577.0,139626046395.0,131773927239.0,648840320672.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,-,-,4.852.897.265,4.852.897.265,,,,,,4852897265.0,4852897265.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,307.118.369.532,-,-,-,307.118.369.532,,,307118369532.0,,,,307118369532.0
Chuyển từ chi phí cơ bản dở dang,Chuyển từ chi phí cơ bản dở dang,Chuyển từ chi phí cơ bản dở dang,-,-,66.164.854.797,24.116.185.777,2.438.087.939,57.821.445.578,150.540.574.091,,,66164854797.0,24116185777.0,2438087939.0,57821445578.0,150540574091.0
Thanh lý,Thanh lý,Thanh lý,-,-,(11.850.140.958),-,883.233.777,(1.332.394.010),(12.299.301.191),,,-11850140958.0,,883233777.0,-1332394010.0,-12299301191.0
Xóa sổ,Xóa sổ,Xóa sổ,-,-,-,-,(4.230.248.107),-,(4.230.248.107),,,,,-4230248107.0,,-4230248107.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(45.623.753.755),(54.214.033.920),(72.432.483.924),(91.128.459.444),(116.454.955.567),(141.169.261.414),(521.022.948.024),-45623753755.0,-54214033920.0,-72432483924.0,-91128459444.0,-116454955567.0,-141169261414.0,-521022948024.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,30.487.388.325,-,(300.207.039),(30.187.181.286),-,,,30487388325.0,,-300207039.0,-30187181286.0,
Biến động khác,Biến động khác,Biến động khác,-,-,1.199.374.000,-,(393.661.845),(4.637.663.685),(3.831.951.530),,,1199374000.0,,-393661845.0,-4637663685.0,-3831951530.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,285.322.759.947,271.070.169.597,761..338.146.326,102.527.585.748,113.461.144.489,379.987.561.716,1.913.707.367.823,285322759947.0,271070169597.0,761338146326.0,102527585748.0,113461144489.0,379987561716.0,1913707367823.0
