row_label_raw,row_label_full,col_0,2016VND,2015VNDĐã điều chỉnh lại,numeric__2016VND,numeric__2015VNDĐã điều chỉnh lại
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,700.390.839.066,928.474.021.731,700390839066.0,928474021731.0
Mua mới trong năm,Mua mới trong năm,Mua mới trong năm,1.492.585.202.951,1.304.742.366.545,1492585202951.0,1304742366545.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.331.372.886.334),(1.242.916.114.621),-1331372886334.0,-1242916114621.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(40.908.460.300),(77.480.499.144),-40908460300.0,-77480499144.0
Thanh lý và nhượng bán,Thanh lý và nhượng bán,Thanh lý và nhượng bán,-,(52.611.787.793),,-52611787793.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(3.397.949.842),(56.420.957.250),-3397949842.0,-56420957250.0
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(150.540.574.091),(41.910.995.000),-150540574091.0,-41910995000.0
Xóa số,Xóa số,Xóa số,(57.823.859.224),(48.279.958.144),-57823859224.0,-48279958144.0
Biến động khác,Biến động khác,Biến động khác,(4.229.883.075),(13.205.237.258),-4229883075.0,-13205237258.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,604.702.429.151,700.390.839.066,604702429151.0,700390839066.0
