row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,31/12/2016Giá trị đầu tư theo phương pháp vốn chủ VND,Dự phòng VND,Giá trị hợp lý VND,Tỷ lệ biểu quyết_1,Tỷ lệ sở hữu_1,1/1/2016Giá trị đầu tư theo phương pháp vốn chủ VNDĐã điều chỉnh lại,Dự phòng VNDĐã điều chỉnh lại,Giá trị hợp lý VND_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ sở hữu,numeric__31/12/2016Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND,numeric__Tỷ lệ biểu quyết_1,numeric__Tỷ lệ sở hữu_1,numeric__1/1/2016Giá trị đầu tư theo phương pháp vốn chủ VNDĐã điều chỉnh lại,numeric__Dự phòng VNDĐã điều chỉnh lại,numeric__Giá trị hợp lý VND_1
Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,Đầu tư góp vốn vào:Công ty liên doanh,,,,,,,,,,,,,
1,Đầu tư góp vốn vào:Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP Hồ Chí Minh,Chế biển các sản phẩm dấu nhóm,"35,00%","35,00%",413.355.234.965,-,(*),"35,00%","35,00%",564.587.050.198,-,(*),,,,0.35,0.35,413355234965.0,,,0.35,0.35,564587050198.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngắn hàng Thương mại Cổ phần Xăng dầu Petrolimex (i),Hà Nội,Kinh doanh dịch vụ ngân hàng,"41,85%","40,57%",1.457.775.675.488,-,(*),"41,85%","40,56%",1.408.229.133.929,-,(*),,,,0.41850000000000004,0.4057,1457775675488.0,,,0.41850000000000004,0.4056,1408229133929.0,,
2,Công ty liên kết > 2,2,Công ty CP Thương mại Dịch vụ Cho Gạo (ii),Tiền Giang,Kinh doanh xăng dấu,"29,20%","29,20%",4.220.400.000,-,(*),"29,20%","29,20%",4.220.400.000,-,(*),,,,0.292,0.292,4220400000.0,,,0.292,0.292,4220400000.0,,
3,Công ty liên kết > 3,3,Công ty TNHH Thương mại Xáy lắp Diện máy Thăng Long (ii),TP Hồ Chí Minh,Xây dựng và cung cấp thiết bị,"44,44%","13,33%",400.000.000,(400.000.000),(*),"44,44%","13,33%",400.000.000,(400.000.000),(*),,,,0.44439999999999996,0.1333,400000000.0,-400000000.0,,0.44439999999999996,0.1333,400000000.0,-400000000.0,
4,Công ty liên kết > 4,4,Công ty CP Xây dựng Công trình giao thông 810 (ii),Hà Nội,Xây dựng công trình,-,-,-,-,-,"25,00%","19,76%",2.864.530.692,-,(*),,,,,,,,,0.25,0.19760000000000003,2864530692.0,,
5,Công ty liên kết > 5,5,Công ty CP TMDV Sím chữa Ô tô Việt Nam (ii),Hà Nội,Sửa chữa ô tô,"35,55%","35,55%",3.150.000.000,(261.917.003),(*),"35,55%","35,55%",3.150.000.000,(261.917.003),(*),,,,0.3555,0.3555,3150000000.0,-261917003.0,,0.3555,0.3555,3150000000.0,-261917003.0,
6,Công ty liên kết > 6,6,Công ty CP Thương mại Tuyên Quang,Tuyên Quang,Kinh doanh thương mại,"27,73%","27,73%",1.832.887.337,-,(*),"33,19%","33,19%",1.430.106.138,-,(*),,,,0.2773,0.2773,1832887337.0,,,0.3319,0.3319,1430106138.0,,
7,Công ty liên kết > 7,7,Công ty CP Vườn Mê Kông (ii),Tiền Giang,Mua bán hàng hóa,"40,00%","21,60%",12.900.000.000,(825.186.172),(*),"40,00%","21,60%",12.900.000.000,(1.074.779.797),(*),,,,0.4,0.21600000000000003,12900000000.0,-825186172.0,,0.4,0.21600000000000003,12900000000.0,-1074779797.0,
