row_label_raw,row_label_full,col_0,2015(theo báo cáotrước đây),2015(diệt chỉnh củaKiểm toán Nhà nước),2015(dã điều chỉnhtheo Kiểm toánNhà nước),numeric__2015(theo báo cáotrước đây),numeric__2015(diệt chỉnh củaKiểm toán Nhà nước),numeric__2015(dã điều chỉnhtheo Kiểm toánNhà nước)
,,,VND,VND,VND,,,
Doanh thu bán hàng và cứng cấp dịch vụ,Doanh thu bán hàng và cứng cấp dịch vụ,Doanh thu bán hàng và cứng cấp dịch vụ,146.945.357.985.342,4.366.183.875,146.949.724.169.217,146945357985342.0,4366183875.0,146949724169217.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,134.074.930.094.873,(338.017.048.573),133.736.913.046.300,134074930094873.0,-338017048573.0,133736913046300.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,798.808.629.518,(3.246.313.736),795.562.315.782,798808629518.0,-3246313736.0,795562315782.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,2.590.604.235.528,(13.966.322.005),2.576.637.913.523,2590604235528.0,-13966322005.0,2576637913523.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",504.994.646.325,1.778.495.569,506.773.141.894,504994646325.0,1778495569.0,506773141894.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,6.886.253.994.863,(36.482.168.249),6.849.771.826.614,6886253994863.0,-36482168249.0,6849771826614.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,979.826.044.696,(2.909.674.159),976.916.370.537,979826044696.0,-2909674159.0,976916370537.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,358.365.521.592,77.387.576.787,435.753.098.379,358365521592.0,77387576787.0,435753098379.0
Chi phí khác,Chi phí khác,Chi phí khác,298.998.315.878,9.271.203.978,308.269.519.856,298998315878.0,9271203978.0,308269519856.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,689.081.358.133,106.897.984.432,795.979.342.565,689081358133.0,106897984432.0,795979342565.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,1.060.768.149,(604.501.495),456.266.654,1060768149.0,-604501495.0,456266654.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.632,342,2.974,2632.0,342.0,2974.0
