row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Nhận đặt cọc thuê mặt bằng trung tâm thương mại,a. Ngắn hạn > Nhận đặt cọc thuê mặt bằng trung tâm thương mại,Nhận đặt cọc thuê mặt bằng trung tâm thương mại,128.150,85.136,128150.0,85136.0
Kinh phí bảo trì các căn hộ đã bàn giao,a. Ngắn hạn > Kinh phí bảo trì các căn hộ đã bàn giao,Kinh phí bảo trì các căn hộ đã bàn giao,22.700,21.616,22700.0,21616.0
Nhận đặt cọc thi công mặt bằng,a. Ngắn hạn > Nhận đặt cọc thi công mặt bằng,Nhận đặt cọc thi công mặt bằng,12.172,11.858,12172.0,11858.0
"Các khoản phải trả, phải nộp khác","a. Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",27.488,28.169,27488.0,28169.0
,,,190.510,146.779,190510.0,146779.0
Trong đó: Phải trả khác ngắn hạn các bên liên quan(Chi tiết tại Thuyết minh số 33),a. Ngắn hạn > Trong đó: Phải trả khác ngắn hạn các bên liên quan(Chi tiết tại Thuyết minh số 33),Trong đó: Phải trả khác ngắn hạn các bên liên quan(Chi tiết tại Thuyết minh số 33),24.770,9.727,24770.0,9727.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Nhận đặt cọc cho mục đích hợp tác kinh doanh (i),b. Dài hạn > Nhận đặt cọc cho mục đích hợp tác kinh doanh (i),Nhận đặt cọc cho mục đích hợp tác kinh doanh (i),3.300.000,350.000,3300000.0,350000.0
Nhận đặt cọc thuê mặt bằng trung tâm thương mại,b. Dài hạn > Nhận đặt cọc thuê mặt bằng trung tâm thương mại,Nhận đặt cọc thuê mặt bằng trung tâm thương mại,195.628,243.873,195628.0,243873.0
,,,3.495.628,593.873,3495628.0,593873.0
Trong đó: Phải trả khác dài hạn các bên liên quan(Chi tiết tại Thuyết minh số 33),b. Dài hạn > Trong đó: Phải trả khác dài hạn các bên liên quan(Chi tiết tại Thuyết minh số 33),Trong đó: Phải trả khác dài hạn các bên liên quan(Chi tiết tại Thuyết minh số 33),9.436,367.226,9436.0,367226.0
