row_label_raw,row_label_full,Công ty con,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Công ty TNHH Vận hành Vincom Retail,Công ty TNHH Vận hành Vincom Retail,Công ty TNHH Vận hành Vincom Retail,Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,,
Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa,Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa,Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa,Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,,
Công ty TNHH Vincom Retail Landmark 81,Công ty TNHH Vincom Retail Landmark 81,Công ty TNHH Vincom Retail Landmark 81,Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,,
Công ty TNHH Bất động sản Vincom NCT,Công ty TNHH Bất động sản Vincom NCT,Công ty TNHH Bất động sản Vincom NCT,Chưa hoạt động,Chưa thành lập,,
,,,Số cuối năm,Số đầu năm,,
,,,Triệu VND,Triệu VND,,
c. Đầu tư góp vốn vào các thỏa thuận hợp tác đầu tư và kinh doanh (i),c. Đầu tư góp vốn vào các thỏa thuận hợp tác đầu tư và kinh doanh (i),c. Đầu tư góp vốn vào các thỏa thuận hợp tác đầu tư và kinh doanh (i),,,,
Công ty TNHH Phát triển Công viên Trung Tâm,c. Đầu tư góp vốn vào các thỏa thuận hợp tác đầu tư và kinh doanh (i) > Công ty TNHH Phát triển Công viên Trung Tâm,Công ty TNHH Phát triển Công viên Trung Tâm,172.393,173.678,172393.0,173678.0
Các bên liên quan(chỉ tiết tại thuyết minh số 33),c. Đầu tư góp vốn vào các thỏa thuận hợp tác đầu tư và kinh doanh (i) > Các bên liên quan(chỉ tiết tại thuyết minh số 33),Các bên liên quan(chỉ tiết tại thuyết minh số 33),2.188.757,3.581.191,2188757.0,3581191.0
,,,2.361.150,3.754.869,2361150.0,3754869.0
