row_label_raw,row_label_full,col_0,"Quyền sử dụng đất, nhà cửa, vật kiến trúc","Máy móc, thiết bị",Tổng,"numeric__Quyền sử dụng đất, nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.101.061,1.431.437,6.532.498,5101061.0,1431437.0,6532498.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,(224),(224),,-224.0,-224.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,5.101.061,1.431.213,6.532.274,5101061.0,1431213.0,6532274.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,768.063,569.378,1.337.441,768063.0,569378.0,1337441.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,138.112,118.311,256.423,138112.0,118311.0,256423.0
Thanh lý,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý,Thanh lý,-,(37),(37),,-37.0,-37.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,906.175,687.652,1.593.827,906175.0,687652.0,1593827.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.332.998,862.059,5.195.057,4332998.0,862059.0,5195057.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.194.886,743.561,4.938.447,4194886.0,743561.0,4938447.0
