row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị,Số đầu năm > Triệu VND > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Triệu VND > Giảm,Số cuối năm > Giá trị,Số cuối năm > Triệu VND > Số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Triệu VND > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Triệu VND > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Triệu VND > Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,1.970.711,1.970.711,2.837.919,2.457.860,2.350.770,2.350.770,,1970711.0,1970711.0,2837919.0,2457860.0,2350770.0,2350770.0
Khoản vay hợp vốn dài hạn,Khoản vay hợp vốn dài hạn,Khoản vay hợp vốn dài hạn,Khoản vay hợp vốn dài hạn,-,-,2.837.919,487.149,2.350.770,2.350.770,,,,2837919.0,487149.0,2350770.0,2350770.0
Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,1.970.711,1.970.711,-,1.970.711,-,-,,1970711.0,1970711.0,,1970711.0,,
,,,,1.970.711,1.970.711,2.837.919,2.457.860,2.350.770,2.350.770,,1970711.0,1970711.0,2837919.0,2457860.0,2350770.0,2350770.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,1.970.711,,,,2.350.770,,,1970711.0,,,,2350770.0,
Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,Thông tin chỉ tiết các khoản vay hợp vốn dài hạn như sau:,,,,,,,
STT,STT,STT,Bên cho vay,Số tiền,Kỳ hạn gốc và trả lãi,Kỳ hạn gốc và trả lãi,Lãi suất,Lãi suất,Hình thức đảm bảo,,,,,,,
STT,STT,STT,Bên cho vay,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
1,STT > 1,1,Deutsche Bank AG - Singapore Branch,1.865.690,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào tháng 10 năm 2027;- Trả lãi định kỳ hàng quý vào ngày làm việc cuối cùng của quý.,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào tháng 10 năm 2027;- Trả lãi định kỳ hàng quý vào ngày làm việc cuối cùng của quý.,"Lãi suất thả nổi, lãi suất trong năm là 9%/năm","Lãi suất thả nổi, lãi suất trong năm là 9%/năm",(i),,1865690.0,,,,,
2,STT > 2,2,Ngân hàng Deutsche Bank AG - chỉ nhánh Hồ Chí Minh,485.080,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào tháng 10 năm 2027;- Trả lãi định kỳ hàng quý vào ngày làm việc cuối cùng của quý.,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào tháng 10 năm 2027;- Trả lãi định kỳ hàng quý vào ngày làm việc cuối cùng của quý.,"Lãi suất thả nổi, lãi suất trong năm là 9,41%/năm","Lãi suất thả nổi, lãi suất trong năm là 9,41%/năm",(i),,485080.0,,,,,
,,,,2.350.770,,,,,,,2350770.0,,,,,
