row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị,Số đầu năm > Triệu VND > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Triệu VND > Giảm,Số cuối năm > Giá trị,Số cuối năm > Triệu VND > Số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Triệu VND > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Triệu VND > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Triệu VND > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.961.913,2.961.913,5.232.043,5.357.741,2.836.215,2.836.215,,2961913.0,2961913.0,5232043.0,5357741.0,2836215.0,2836215.0
Trái phiếu đến hạn,Trái phiếu đến hạn,Trái phiếu đến hạn,Trái phiếu đến hạn,-,-,1.988.427,-,1.988.427,1.988.427,,,,1988427.0,,1988427.0,1988427.0
Vay bên liên quan (Thuyết minh số 33),Vay bên liên quan (Thuyết minh số 33),Vay bên liên quan (Thuyết minh số 33),Vay bên liên quan (Thuyết minh số 33),1.190.000,1.190.000,3.243.616,3.585.828,847.788,847.788,,1190000.0,1190000.0,3243616.0,3585828.0,847788.0,847788.0
Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,1.771.913,1.771.913,-,1.771.913,-,-,,1771913.0,1771913.0,,1771913.0,,
,,,,2.961.913,2.961.913,5.232.043,5.357.741,2.836.215,2.836.215,,2961913.0,2961913.0,5232043.0,5357741.0,2836215.0,2836215.0
Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,Thông tin chi tiết các khoản vay ngắn hạn như sau:,,,,,,,
STT Đơn vị tư vấn phát hành,STT Đơn vị tư vấn phát hành,STT Đơn vị tư vấn phát hành,STT Đơn vị tư vấn phát hành,Số tiền,Kỳ hạn gốc và trả lãi,Kỳ hạn gốc và trả lãi,Lãi suất,Lãi suất,Hình thức đảm bảo,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
1,STT Đơn vị tư vấn phát hành > 1,1,Công ty Cổ phần chứng khoán Kỹ thương,1.988.427,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,"Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm","Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm",(i),,1988427.0,,,,,
1,STT Đơn vị tư vấn phát hành > 1,1,Trái phiếu chào bán ra công chúng mã BONDVCRO42025,1.988.427,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,"Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm","Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm",(i),,1988427.0,,,,,
2,STT Đơn vị tư vấn phát hành > 2,2,Công ty TNHH Vận hành Vincom Retail,847.788,- Các khoản nợ gốc và lãi trả 1 lần vào thời điểm cuối kỳ hạn lần lượt vào tháng 5 và tháng 6 năm 2025,- Các khoản nợ gốc và lãi trả 1 lần vào thời điểm cuối kỳ hạn lần lượt vào tháng 5 và tháng 6 năm 2025,Lãi suất trong năm là 12%/năm,Lãi suất trong năm là 12%/năm,Không có tài sản đảm bảo,,847788.0,,,,,
2,STT Đơn vị tư vấn phát hành > 2,2,,2.836.215,- Các khoản nợ gốc và lãi trả 1 lần vào thời điểm cuối kỳ hạn lần lượt vào tháng 5 và tháng 6 năm 2025,- Các khoản nợ gốc và lãi trả 1 lần vào thời điểm cuối kỳ hạn lần lượt vào tháng 5 và tháng 6 năm 2025,Lãi suất trong năm là 12%/năm,Lãi suất trong năm là 12%/năm,Không có tài sản đảm bảo,,2836215.0,,,,,
