row_label_raw,row_label_full,Công ty,Mỗi quan hệ,numeric__Mỗi quan hệ
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,(*),
Công ty TNHH Vincom Retail Landmark 81,Công ty TNHH Vincom Retail Landmark 81,Công ty TNHH Vincom Retail Landmark 81,Công ty con,
Công ty TNHH Vận hành Vincom Retail,Công ty TNHH Vận hành Vincom Retail,Công ty TNHH Vận hành Vincom Retail,Công ty con,
Công ty TNHH Bắt động sản Vincom NCT,Công ty TNHH Bắt động sản Vincom NCT,Công ty TNHH Bắt động sản Vincom NCT,Công ty con,
Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,(**),
Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,(**),
Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,(**),
Công ty Cổ phần Phát triển Thành phố xanh,Công ty Cổ phần Phát triển Thành phố xanh,Công ty Cổ phần Phát triển Thành phố xanh,(**),
Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,(**),
Công ty Cổ phần Đô thị Du lịch Cần Giờ,Công ty Cổ phần Đô thị Du lịch Cần Giờ,Công ty Cổ phần Đô thị Du lịch Cần Giờ,(**),
Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinFast,Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinFast,Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinFast,(**),
Công ty Cổ phần VinWonders Nha Trang,Công ty Cổ phần VinWonders Nha Trang,Công ty Cổ phần VinWonders Nha Trang,(**),
Công ty Cổ phần Vinschool,Công ty Cổ phần Vinschool,Công ty Cổ phần Vinschool,(**),
Công ty Cổ phần Trung tâm Hội chợ Triển lâm Việt Nam,Công ty Cổ phần Trung tâm Hội chợ Triển lâm Việt Nam,Công ty Cổ phần Trung tâm Hội chợ Triển lâm Việt Nam,(**),
