row_label_raw,row_label_full,col_0,Thù Lao (*),Thù Lao (*)_1,numeric__Thù Lao (*),numeric__Thù Lao (*)_1
,,,Năm nay,Năm trước,,
,,,Triệu VND,Triệu VND,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,
Bà Thái Thị Thanh Hải – Chủ tịch(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024),Bà Thái Thị Thanh Hải – Chủ tịch(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024),Bà Thái Thị Thanh Hải – Chủ tịch(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024),-,-,,
Bà Trần Mai Hoa – Chủ tịch điều hành(Từ ngày 23 tháng 4 năm 2024),Bà Thái Thị Thanh Hải – Chủ tịch(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024) > Bà Trần Mai Hoa – Chủ tịch điều hành(Từ ngày 23 tháng 4 năm 2024),Bà Trần Mai Hoa – Chủ tịch điều hành(Từ ngày 23 tháng 4 năm 2024),1.878,1.014,1878.0,1014.0
Ông Nguyễn Thế Anh – Thành viên,Ông Nguyễn Thế Anh – Thành viên,Ông Nguyễn Thế Anh – Thành viên,-,-,,
Ông Nguyễn Hoài Nam – Thành viên(Từ ngày 23 tháng 4 năm 2024),Ông Nguyễn Hoài Nam – Thành viên(Từ ngày 23 tháng 4 năm 2024),Ông Nguyễn Hoài Nam – Thành viên(Từ ngày 23 tháng 4 năm 2024),-,-,,
Bà Lê Mai Lan – Thành viên(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024),Bà Lê Mai Lan – Thành viên(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024),Bà Lê Mai Lan – Thành viên(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024),-,-,,
Ông Sanjay Vinayak – Thành viên độc lập,Bà Lê Mai Lan – Thành viên(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024) > Ông Sanjay Vinayak – Thành viên độc lập,Ông Sanjay Vinayak – Thành viên độc lập,1.036,956,1036.0,956.0
Ông Fong Ming Huang Ernest – Thành viên độc lập,Bà Lê Mai Lan – Thành viên(từ ngày 26 tháng 4 năm 2023 đến ngày 23 tháng 4 năm 2024) > Ông Fong Ming Huang Ernest – Thành viên độc lập,Ông Fong Ming Huang Ernest – Thành viên độc lập,1.036,956,1036.0,956.0
