row_label_raw,row_label_full,Quyền sử dụng đất,Giấy phép và quyền khai thác,Phần mềm máy vi tính,Tổng,numeric__Giấy phép và quyền khai thác,numeric__Phần mềm máy vi tính,numeric__Tổng
VND,VND,VND,VND,VND,VND,,,
13.713.582.000,VND > 13.713.582.000,13.713.582.000,456.929.439.536,40.752.018.542,511.395.040.078,456929439536.0,40752018542.0,511395040078.0
31.809.793.025,VND > 31.809.793.025,31.809.793.025,25.356.381.135,21.940.946.027,79.107.120.187,25356381135.0,21940946027.0,79107120187.0
-,VND > -,-,190.512.000.000,8.144.475.290,198.656.475.290,190512000000.0,8144475290.0,198656475290.0
-,VND > -,-,-,(96.721.123),(96.721.123),,-96721123.0,-96721123.0
-,VND > -,-,-,137.686.794,137.686.794,,137686794.0,137686794.0
45.523.375.025,VND > 45.523.375.025,45.523.375.025,672.797.820.671,70.878.405.530,789.199.601.226,672797820671.0,70878405530.0,789199601226.0
-,VND > -,-,130.824.450.475,26.517.951.111,157.342.401.586,130824450475.0,26517951111.0,157342401586.0
-,VND > -,-,39.291.466.416,10.440.857.172,49.732.323.588,39291466416.0,10440857172.0,49732323588.0
-,VND > -,-,-,(96.721.123),(96.721.123),,-96721123.0,-96721123.0
-,VND > -,-,-,137.686.794,137.686.794,,137686794.0,137686794.0
-,VND > -,-,170.115.916.891,36.999.773.954,207.115.690.845,170115916891.0,36999773954.0,207115690845.0
13.713.582.000,VND > 13.713.582.000,13.713.582.000,326.104.989.061,14.234.067.431,354.052.638.492,326104989061.0,14234067431.0,354052638492.0
45.523.375.025,VND > 45.523.375.025,45.523.375.025,502.681.903.780,33.878.631.576,582.083.910.381,502681903780.0,33878631576.0,582083910381.0
