row_label_raw,row_label_full,Số đầu năm,Số phải nộp /thu trong năm,Số đã thực nộp/thu/được khẩu trừ trong năm,Số cuối năm,numeric__Số phải nộp /thu trong năm,numeric__Số đã thực nộp/thu/được khẩu trừ trong năm,numeric__Số cuối năm
VND,VND,VND,VND,VND,VND,,,
793.209.770,VND > 793.209.770,793.209.770,8.744.915.486,9.538.125.256,-,8744915486.0,9538125256.0,
106.015.646.958,VND > 106.015.646.958,106.015.646.958,-,96.571.554.168,9.444.092.790,,96571554168.0,9444092790.0
99.858.547,VND > 99.858.547,99.858.547,458.085.285,472.853.441,85.090.391,458085285.0,472853441.0,85090391.0
106.908.715.275,VND > 106.908.715.275,106.908.715.275,9.203.000.771,106.582.532.865,9.529.183.181,9203000771.0,106582532865.0,9529183181.0
20.547.126.625,VND > 20.547.126.625,20.547.126.625,483.670.762.113,486.304.648.534,17.913.240.204,483670762113.0,486304648534.0,17913240204.0
20.547.126.625,VND > 20.547.126.625,20.547.126.625,309.127.018.554,311.760.904.975,17.913.240.204,309127018554.0,311760904975.0,17913240204.0
-,VND > -,-,174.543.743.559,174.543.743.559,-,174543743559.0,174543743559.0,
-,VND > -,-,13.951.150.108,13.951.150.108,-,13951150108.0,13951150108.0,
39.978.180.781,VND > 39.978.180.781,39.978.180.781,282.474.299.207,268.638.833.805,53.813.646.183,282474299207.0,268638833805.0,53813646183.0
4.679.069.671,VND > 4.679.069.671,4.679.069.671,88.827.468.858,89.579.523.362,3.927.015.167,88827468858.0,89579523362.0,3927015167.0
-,VND > -,-,229.000.000,229.000.000,-,229000000.0,229000000.0,
4.136.213.381,VND > 4.136.213.381,4.136.213.381,73.092.453.232,73.717.720.280,3.510.946.333,73092453232.0,73717720280.0,3510946333.0
542.856.290,VND > 542.856.290,542.856.290,15.506.015.626,15.632.803.082,416.068.834,15506015626.0,15632803082.0,416068834.0
-,VND > -,-,3.520.000,3.520.000,-,3520000.0,3520000.0,
65.204.377.077,VND > 65.204.377.077,65.204.377.077,868.927.200.286,858.477.675.809,75.653.901.554,868927200286.0,858477675809.0,75653901554.0
