row_label_raw,row_label_full,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,25.679.365.900,35.200.000.000,numeric__Công ty con,numeric__Dịch vụ tư vấn quản lý,numeric__25.679.365.900,numeric__35.200.000.000
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lý,23.563.275.000,3.377.340.002,,,23563275000.0,3377340002.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Thuê văn phòng,-,6.222.259.721,,,,6222259721.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Chuyển nhượng nền,-,19.479.344.000,,,,19479344000.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Dự án Long An,-,60.062.970.000,,,,60062970000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Dịch vụ tư vấn quản lý,11.115.461.847,-,,,11115461847.0,
Kikyo Flora,Kikyo Flora,Kikyo Flora,Công ty con,Dịch vụ tổng thầu,8.236.862.442,-,,,8236862442.0,
Nam Long – Hồng Phát,Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Phí dịch vụ tư vấn quản lý,1.850.998.155,13.293.294.127,,,1850998155.0,13293294127.0
NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,Công ty con,Dịch vụ tổng thầu,-,27.170.781.000,,,,27170781000.0
Các cá nhân,Các cá nhân,Các cá nhân,Bên liên quan,Bán căn hộ,161.005.097,341.755.097,,,161005097.0,341755097.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Dịch vụ tư vấn quản lý,7.602.167.916,1.800.513.756,,,7602167916.0,1800513756.0
,,,,,78.209.136.357,166.948.257.703,,,78209136357.0,166948257703.0
