row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quyền chọn chuyển đổi trái phiếu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.421.145.100.000,492.161.147.061,5.940.860.165,40.503.427.830,330.100.694.490,2.289.851.229.546,1421145100000.0,492161147061.0,5940860165.0,40503427830.0,330100694490.0,2289851229546.0
Cổ tức bằng cổ phiếu công bố,Năm trước > Cổ tức bằng cổ phiếu công bố,Cổ tức bằng cổ phiếu công bố,141.537.390.000,-,-,-,(141.537.390.000),-,141537390000.0,,,,-141537390000.0,
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,9.581.600.000,(110.000.000),-,-,-,9.471.600.000,9581600000.0,-110000000.0,,,,9471600000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,581.151.289.209,581.151.289.209,,,,,581151289209.0,581151289209.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,(70.762.455.015),(70.762.455.015),,,,,-70762455015.0,-70762455015.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(22.790.000.000),(22.790.000.000),,,,,-22790000000.0,-22790000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.572.264.090.000,492.051.147.061,5.940.860.165,40.503.427.830,676.162.138.684,2.786.921.663.740,1572264090000.0,492051147061.0,5940860165.0,40503427830.0,676162138684.0,2786921663740.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.572.264.090.000,492.051.147.061,5.940.860.165,40.503.427.830,676.162.138.684,2.786.921.663.740,1572264090000.0,492051147061.0,5940860165.0,40503427830.0,676162138684.0,2786921663740.0
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),331.258.970.000,250.839.856.000,-,-,-,582.098.826.000,331258970000.0,250839856000.0,,,,582098826000.0
Cổ tức bằng cổ phiếu (ii),Năm nay > Cổ tức bằng cổ phiếu (ii),Cổ tức bằng cổ phiếu (ii),212.242.570.000,-,-,-,(212.242.570.000),-,212242570000.0,,,,-212242570000.0,
Chuyển đổi trái phiếu chuyển đổi (iii),Năm nay > Chuyển đổi trái phiếu chuyển đổi (iii),Chuyển đổi trái phiếu chuyển đổi (iii),275.603.550.000,245.617.361.306,-,(40.503.427.830),-,480.717.483.476,275603550000.0,245617361306.0,,-40503427830.0,,480717483476.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.086.102.330.984,1.086.102.330.984,,,,,1086102330984.0,1086102330984.0
Cổ tức bằng tiền công bố (iv),Năm nay > Cổ tức bằng tiền công bố (iv),Cổ tức bằng tiền công bố (iv),-,-,-,-,(82.768.922.256),(82.768.922.256),,,,,-82768922256.0,-82768922256.0
Trích lập quỹ khác,Năm nay > Trích lập quỹ khác,Trích lập quỹ khác,-,-,-,-,(5.350.000.000),(5.350.000.000),,,,,-5350000000.0,-5350000000.0
"Trích lập quỹ khen thưởng, phúc lợi (v)","Năm nay > Trích lập quỹ khen thưởng, phúc lợi (v)","Trích lập quỹ khen thưởng, phúc lợi (v)",-,-,-,-,(37.450.000.000),(37.450.000.000),,,,,-37450000000.0,-37450000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.391.369.180.000,988.508.364.367,5.940.860.165,-,1.424.452.977.412,4.810.271.381.944,2391369180000.0,988508364367.0,5940860165.0,,1424452977412.0,4810271381944.0
