row_label_raw,row_label_full,Công ty con,Công ty con_1,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Công ty con_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Công ty con,Công ty con,Công ty con,Công ty con,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,
Paragon,Công ty con > Paragon,Paragon,(i),100,1.012.847.748.366,-,-,,100.0,1012847748366.0,,
Nam Long VCD,Công ty con > Nam Long VCD,Nam Long VCD,(ii),"90,40",1.008.544.090.000,"90,40",1.008.544.090.000,,90.4,1008544090000.0,90.4,1008544090000.0
Nam Phan,Công ty con > Nam Phan,Nam Phan,,"99,96",611.686.896.717,"99,96",611.686.896.717,,99.96,611686896717.0,99.96,611686896717.0
Nguyên Sơn,Công ty con > Nguyên Sơn,Nguyên Sơn,"(ii), (iv)","87,30",398.843.562.800,"87,30",687.034.822.800,,87.3,398843562800.0,87.3,687034822800.0
NLG – NNR – HR Fuji,Công ty con > NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,(iii),"50,00",355.214.839.707,"50,00",355.214.839.707,,50.0,355214839707.0,50.0,355214839707.0
Nam Long ADC,Công ty con > Nam Long ADC,Nam Long ADC,,"97,14",286.698.033.000,"97,14",286.698.033.000,,97.14,286698033000.0,97.14,286698033000.0
Nam Khang,Công ty con > Nam Khang,Nam Khang,,100,201.981.690.000,100,201.981.690.000,,100.0,201981690000.0,100.0,201981690000.0
Kikyo Valora,Công ty con > Kikyo Valora,Kikyo Valora,(iii),"50,00",99.000.000.000,"50,00",99.000.000.000,,50.0,99000000000.0,50.0,99000000000.0
Nam Long PMD,Công ty con > Nam Long PMD,Nam Long PMD,,100,77.872.707.656,100,77.872.707.656,,100.0,77872707656.0,100.0,77872707656.0
Kikyo Flora,Công ty con > Kikyo Flora,Kikyo Flora,"(iii), (iv)","50,00",10.000.000.000,"50,00",64.000.000.000,,50.0,10000000000.0,50.0,64000000000.0
Nam Long – Hồng Phát,Công ty con > Nam Long – Hồng Phát,Nam Long – Hồng Phát,,"75,25",47.782.500.000,"75,25",47.782.500.000,,75.25,47782500000.0,75.25,47782500000.0
Thảo Nguyên,Công ty con > Thảo Nguyên,Thảo Nguyên,"(ii), (iii)","50,00",28.483.116.500,"50,00",28.483.116.500,,50.0,28483116500.0,50.0,28483116500.0
Nguyên Phúc,Công ty con > Nguyên Phúc,Nguyên Phúc,(iii),"50,00",12.043.166.500,"50,00",12.043.166.500,,50.0,12043166500.0,50.0,12043166500.0
SGD Nam Long,Công ty con > SGD Nam Long,SGD Nam Long,,100,6.000.000.000,100,6.000.000.000,,100.0,6000000000.0,100.0,6000000000.0
Dịch vụ Nam Long,Công ty con > Dịch vụ Nam Long,Dịch vụ Nam Long,,100,3.374.000.000,100,2.540.000.000,,100.0,3374000000.0,100.0,2540000000.0
TỔNG CỘNG,Công ty con > TỔNG CỘNG,TỔNG CỘNG,,,4.160.372.351.246,,3.488.881.862.880,,,4160372351246.0,,3488881862880.0
