row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,12.122.128.927,12.778.633.957,(656.505.030),7.977.465.431,12122128927.0,12778633957.0,-656505030.0,7977465431.0
Chênh lệch giá vốn hàng bán,Tài sản thuế TNDN hoãn lại > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,2.152.876.483,1.902.829.419,250.047.064,319.444.390,2152876483.0,1902829419.0,250047064.0,319444390.0
Phí hỗ trợ lãi suất,Tài sản thuế TNDN hoãn lại > Phí hỗ trợ lãi suất,Phí hỗ trợ lãi suất,1.616.453.341,-,1.616.453.341,-,1616453341.0,,1616453341.0,
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,647.954.204,647.954.204,-,-,647954204.0,647954204.0,,
,,,16.539.412.955,15.329.417.580,,,16539412955.0,15329417580.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Lỗ thuế hoãn lại,Thuế TNDN hoãn lại phải trả > Lỗ thuế hoãn lại,Lỗ thuế hoãn lại,-,-,-,2.696.372.479,,,,2696372479.0
,,,-,-,,,,,,
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,1.209.995.375,10.993.282.300,,,1209995375.0,10993282300.0
