row_label_raw,row_label_full,Tên đơn vị,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giá gốc đầu tư VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giá gốc đầu tư VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giá gốc đầu tư VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giá gốc đầu tư VND
Công ty Cổ Phần Southgate (i),Công ty Cổ Phần Southgate (i),Công ty Cổ Phần Southgate (i),Bất động sản,50,916.500.000.000,,-,,50.0,916500000000.0,,
Công ty Cổ phần NNH Mizuki (ii),Công ty Cổ phần NNH Mizuki (ii),Công ty Cổ phần NNH Mizuki (ii),Bất động sản,50,750.000.000.000,50,750.000.000.000,,50.0,750000000000.0,50.0,750000000000.0
,,,,,1.666.500.000.000,,750.000.000.000,,,1666500000000.0,,750000000000.0
