row_label_raw,row_label_full,"Phải thu các bên liên quan(Thuyết minh (""TM"") số 23)",Số cuối năm > 78.209.136.357,VND Số đầu năm > 166.948.257.703,numeric__Số cuối năm > 78.209.136.357,numeric__VND Số đầu năm > 166.948.257.703
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,35.816.028.304,78.376.387.099,35816028304.0,78376387099.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,114.025.164.661,245.324.644.802,114025164661.0,245324644802.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(185.761.495),(185.761.495),-185761495.0,-185761495.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,113.839.403.166,245.138.883.307,113839403166.0,245138883307.0
