row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay dài hạn (TM số 7) (*),Phải thu về cho vay dài hạn (TM số 7) (*),Phải thu về cho vay dài hạn (TM số 7) (*),Phải thu về cho vay dài hạn (TM số 7) (*),Phải thu về cho vay dài hạn (TM số 7) (*),Phải thu về cho vay dài hạn (TM số 7) (*),Phải thu về cho vay dài hạn (TM số 7) (*),,,,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty có cùng thành viên HĐQT,Cho vay,883.510.126,636.677.270,,,883510126.0,636677270.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Cho vay,605.632.488,587.132.488,,,605632488.0,587132488.0
Công ty Cổ phần Gia súc Lơ Pang,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty con,Cho vay,183.116.833,178.816.833,,,183116833.0,178816833.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,Cho vay,109.304.691,105.918.838,,,109304691.0,105918838.0
Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Công ty con của Công ty có cùng thành viên HĐQT,Cho vay,16.254.633,15.751.124,,,16254633.0,15751124.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Cho vay,-,405.418.080,,,,405418080.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Cho vay,-,237.698.118,,,,237698118.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Cho vay,-,124.747.488,,,,124747488.0
Công ty Cổ phần Lê Me,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Cho vay,-,99.018.219,,,,99018219.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu về cho vay dài hạn (TM số 7) (*) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Cho vay,-,49.900.701,,,,49900701.0
