row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,119.579.060,256.060.554,119579060.0,256060554.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,89.769.799,208.286.325,89769799.0,208286325.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,29.809.261,13.516.375,29809261.0,13516375.0
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,-,34.257.854,,34257854.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,-,(3.711.538),,-3711538.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,-,(3.711.538),,-3711538.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,119.579.060,252.349.016,119579060.0,252349016.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,89.769.799,204.574.787,89769799.0,204574787.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,29.809.261,13.516.375,29809261.0,13516375.0
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,-,34.257.854,,34257854.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ bên khác,Trong đó: > Doanh thu từ bên khác,Doanh thu từ bên khác,26.471.562,33.044.797,26471562.0,33044797.0
Doanh thu từ bên liên quan (TM số 28),Trong đó: > Doanh thu từ bên liên quan (TM số 28),Doanh thu từ bên liên quan (TM số 28),93.107.498,219.304.219,93107498.0,219304219.0
