row_label_raw,row_label_full,Tổ chức thu xếp phát hành > ACBS,Trái chủ > Công tyTNHH Dịchvụ Nôngnghiệp TâyNguyên,Số cuối nămNgàn VND > 300.000.000,"Lãi suất%/năm > Lãi suất tiền gửi kỳ hạn muroìiba (13) tháng của Ngân hàngThương mại Cổ phần TiênPhong cộng với biển độ 4,50(2022: 10,00)",Ngàyđảo hạn > Ngày 30 tháng9 năm 2023,Mục đích > Bỗ sung vốncho các dự ánđầu tư và táicấu trúc nợ vaycủa Tập đoàn,Tài sản thế chấp (TM số 14) > 47.000.000 cổ phiếu HAGthuộc sở hữu của Ông ĐoànNguyên Đức,numeric__Trái chủ > Công tyTNHH Dịchvụ Nôngnghiệp TâyNguyên,numeric__Số cuối nămNgàn VND > 300.000.000,"numeric__Lãi suất%/năm > Lãi suất tiền gửi kỳ hạn muroìiba (13) tháng của Ngân hàngThương mại Cổ phần TiênPhong cộng với biển độ 4,50(2022: 10,00)",numeric__Ngàyđảo hạn > Ngày 30 tháng9 năm 2023,numeric__Mục đích > Bỗ sung vốncho các dự ánđầu tư và táicấu trúc nợ vaycủa Tập đoàn,numeric__Tài sản thế chấp (TM số 14) > 47.000.000 cổ phiếu HAGthuộc sở hữu của Ông ĐoànNguyên Đức
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(94.391),,,,,,-94391.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,299.905.609,,,,,,299905609.0,,,,
Trong đó:Trái phiếu dài hạn đếnhạn trả trong vòng 1 năm,Trong đó:Trái phiếu dài hạn đếnhạn trả trong vòng 1 năm,Trong đó:Trái phiếu dài hạn đếnhạn trả trong vòng 1 năm,Trong đó:Trái phiếu dài hạn đếnhạn trả trong vòng 1 năm,299.905.609,,,,,,299905609.0,,,,
