row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các cá nhân và các công ty (i),Ngắn hạn > Phải trả tiền mượn từ các cá nhân và các công ty (i),Phải trả tiền mượn từ các cá nhân và các công ty (i),78.548.387,54.667.573,78548387.0,54667573.0
Phải trả do thu hộ,Ngắn hạn > Phải trả do thu hộ,Phải trả do thu hộ,43.910.747,44.037.238,43910747.0,44037238.0
Khác,Ngắn hạn > Khác,Khác,730.753,1.137.062,730753.0,1137062.0
,,,123.189.887,99.841.873,123189887.0,99841873.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả do thu hộ,Dài hạn > Phải trả do thu hộ,Phải trả do thu hộ,7.666.626,7.666.626,7666626.0,7666626.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,130.856.513,107.508.499,130856513.0,107508499.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,72.831.985,72.546.509,72831985.0,72546509.0
Phải trả ngắn hạn các bên liên quan (TM số 28),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 28),Phải trả ngắn hạn các bên liên quan (TM số 28),58.024.528,34.961.990,58024528.0,34961990.0
