row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(6.678.268.588),6.139.478.329,9274679470.0,3263858784.0,-686640.0,279895303.0,-6678268588.0,6139478329.0
Sử dụng thăng dư vốn cổ phần để cán trừ với lỗ lũy kế,Năm trước > Sử dụng thăng dư vốn cổ phần để cán trừ với lỗ lũy kế,Sử dụng thăng dư vốn cổ phần để cán trừ với lỗ lũy kế,-,(3.263.858.784),-,-,3.263.858.784,-,,-3263858784.0,,,3263858784.0,
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(300.324.860),(300.324.860),,,,,-300324860.0,-300324860.0
"Chi thủ lao HĐQT, Ban Kiểm soát và Thư ký","Năm trước > Chi thủ lao HĐQT, Ban Kiểm soát và Thư ký","Chi thủ lao HĐQT, Ban Kiểm soát và Thư ký",-,-,-,-,(1.485.000),(1.485.000),,,,,-1485000.0,-1485000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,-,(686.640),279.895.303,(3.716.219.664),5.837.668.469,9274679470.0,,-686640.0,279895303.0,-3716219664.0,5837668469.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,-,(686.640),279.895.303,(3.716.219.664),5.837.668.469,9274679470.0,,-686640.0,279895303.0,-3716219664.0,5837668469.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,180.389.114,180.389.114,,,,,180389114.0,180389114.0
"Chi thủ lao HĐQT, Ban Kiểm soát và Thư ký","Năm nay > Chi thủ lao HĐQT, Ban Kiểm soát và Thư ký","Chi thủ lao HĐQT, Ban Kiểm soát và Thư ký",-,-,-,-,(2.652.001),(2.652.001),,,,,-2652001.0,-2652001.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,-,(686.640),279.895.303,(3.538.482.551),6.015.405.582,9274679470.0,,-686640.0,279895303.0,-3538482551.0,6015405582.0
