row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Lê Hồng Phong,Lê Hồng Phong,Lê Hồng Phong,Thành viên BKS,
Lê Hồng Thủy,Lê Hồng Thủy,Lê Hồng Thủy,Cha,
Đỗ Thị Tuyết Nhung,Đỗ Thị Tuyết Nhung,Đỗ Thị Tuyết Nhung,Mẹ,
Bùi Duy Tâm,Bùi Duy Tâm,Bùi Duy Tâm,Cha vợ,
Hoàng Thị Na,Hoàng Thị Na,Hoàng Thị Na,Mẹ vợ,
Bùi Thị Ngọc Anh,Bùi Thị Ngọc Anh,Bùi Thị Ngọc Anh,Vợ,
Lê Hồng Ngọc,Lê Hồng Ngọc,Lê Hồng Ngọc,Con,
Lê Phúc Bình,Lê Phúc Bình,Lê Phúc Bình,Con,
Lê Hồng Anh,Lê Hồng Anh,Lê Hồng Anh,Anh,
Phạm Ngọc Châu,Phạm Ngọc Châu,Phạm Ngọc Châu,Thành viên BKS,
Phạm Văn Kết,Phạm Văn Kết,Phạm Văn Kết,Cha,
Nguyễn Thị Cánh,Nguyễn Thị Cánh,Nguyễn Thị Cánh,Mẹ,
Nguyễn Duy Phương,Nguyễn Duy Phương,Nguyễn Duy Phương,Cha vợ,
Nguyễn Thị Nở,Nguyễn Thị Nở,Nguyễn Thị Nở,Mẹ vợ,
Nguyễn Thị Thu Lan,Nguyễn Thị Thu Lan,Nguyễn Thị Thu Lan,Vợ,
Phạm Nhật Duy,Phạm Nhật Duy,Phạm Nhật Duy,Con,
Phạm Phúc Duy,Phạm Phúc Duy,Phạm Phúc Duy,Con,
Phạm Văn Hùng,Phạm Văn Hùng,Phạm Văn Hùng,Anh,
Bùi Thị Băng Trinh,Bùi Thị Băng Trinh,Bùi Thị Băng Trinh,Chị dâu,
Phạm Thị Như Hoa,Phạm Thị Như Hoa,Phạm Thị Như Hoa,Chị,
Biện Văn Tuấn,Biện Văn Tuấn,Biện Văn Tuấn,Anh rễ,
Phạm Phương Thảo,Phạm Phương Thảo,Phạm Phương Thảo,Em,
Đặng Thị Phi Yên,Đặng Thị Phi Yên,Đặng Thị Phi Yên,Em dâu,
Phạm Phương Nam,Phạm Phương Nam,Phạm Phương Nam,Em,
Nguyễn Thị Duyên,Nguyễn Thị Duyên,Nguyễn Thị Duyên,Em dâu,
Lê Trường Y Trâm,Lê Trường Y Trâm,Lê Trường Y Trâm,Kế toán trường,
Lê Văn Chương,Lê Văn Chương,Lê Văn Chương,Cha,
Trương Thị Nga,Trương Thị Nga,Trương Thị Nga,Mẹ,
Nguyễn Văn Chánh,Nguyễn Văn Chánh,Nguyễn Văn Chánh,Cha chồng,
Nguyễn Thị Hiếu,Nguyễn Thị Hiếu,Nguyễn Thị Hiếu,Mẹ chồng,
Nguyễn Văn Trung,Nguyễn Văn Trung,Nguyễn Văn Trung,Chồng,
Nguyễn Lê Cẩm Hạ,Nguyễn Lê Cẩm Hạ,Nguyễn Lê Cẩm Hạ,Con,
Lê Trường Xuân Vy,Lê Trường Xuân Vy,Lê Trường Xuân Vy,Em,
Trần Anh Đức,Trần Anh Đức,Trần Anh Đức,Em rễ,
Đoàn Thị Mai Phương,Đoàn Thị Mai Phương,Đoàn Thị Mai Phương,Thư ký Công ty kiểm Người phụ tráchquản trị Công ty,
Đoàn Văn Toán,Đoàn Văn Toán,Đoàn Văn Toán,Cha,
Trần Thị Thanh Mai,Trần Thị Thanh Mai,Trần Thị Thanh Mai,Mẹ,
Nguyễn Thành Kham,Nguyễn Thành Kham,Nguyễn Thành Kham,Cha chồng,
Nguyễn Thị Hạnh,Nguyễn Thị Hạnh,Nguyễn Thị Hạnh,Mẹ chồng,
Nguyễn Thành Long,Nguyễn Thành Long,Nguyễn Thành Long,Chồng,
Nguyễn Bảo Ngọc,Nguyễn Bảo Ngọc,Nguyễn Bảo Ngọc,Con,
Đoàn Quang Phú,Đoàn Quang Phú,Đoàn Quang Phú,Em,
