row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,190.725.046,156.901.185,190725046.0,156901185.0
Phải thu tiền thanh lý khoản đầu tư,Phải thu tiền thanh lý khoản đầu tư,Phải thu tiền thanh lý khoản đầu tư,92.434.018,176.271.018,92434018.0,176271018.0
Phải thu tiền bán cần hộ,Phải thu tiền bán cần hộ,Phải thu tiền bán cần hộ,1.222.335,1.306.335,1222335.0,1306335.0
Phải thu tiền thanh lý tài sản cố định,Phải thu tiền thanh lý tài sản cố định,Phải thu tiền thanh lý tài sản cố định,50.000,1.798.337,50000.0,1798337.0
Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,-,36.967.957,,36967957.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,284.431.399,373.244.832,284431399.0,373244832.0
Dự phòng phải thu ngắn hạn khách hàng khó đòi,Dự phòng phải thu ngắn hạn khách hàng khó đòi,Dự phòng phải thu ngắn hạn khách hàng khó đòi,(16.204.381),(51.962.222),-16204381.0,-51962222.0
GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,268.227.018,321.282.610,268227018.0,321282610.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Phải thu các bên liên quan(Thuyết minh (""TM"") số 28)","Trong đó: > Phải thu các bên liên quan(Thuyết minh (""TM"") số 28)","Phải thu các bên liên quan(Thuyết minh (""TM"") số 28)",183.028.500,182.995.617,183028500.0,182995617.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,101.402.899,190.249.215,101402899.0,190249215.0
