row_label_raw,row_label_full,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Lĩnh vực kinh doanh,Lĩnh vực kinh doanh,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,
Trồng cây công nghiệp và nông nghiệp,Lĩnh vực kinh doanh > Trồng cây công nghiệp và nông nghiệp,Trồng cây công nghiệp và nông nghiệp,"9,44",1.041.431.040,(605.941.444),"16,07",1.772.626.680,-,9.44,1041431040.0,-605941444.0,16.07,1772626680.0,
Truyền thông,Lĩnh vực kinh doanh > Truyền thông,Truyền thông,"2,00",6.200.000,-,"2,00",6.200.000,-,2.0,6200000.0,,2.0,6200000.0,
Thương mại và vận tải,Lĩnh vực kinh doanh > Thương mại và vận tải,Thương mại và vận tải,-,1.160.041,(1.160.041),-,1.160.041,(1.160.041),,1160041.0,-1160041.0,,1160041.0,-1160041.0
,,,,1.048.791.081,(607.101.485),,1.779.986.721,(1.160.041),,1048791081.0,-607101485.0,,1779986721.0,-1160041.0
