row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Bán hàng hóa và cung cấp dịch vụ,168.105.994,129.051.231,,,168105994.0,129051231.0
Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty con,Bán hàng hóa và cung cấp dịch vụ,5.628.742,5.023.007,,,5628742.0,5023007.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Bán hàng hóa và cung cấp dịch vụ,4.756.694,5.147.542,,,4756694.0,5147542.0
Công ty Cổ phần Gia súc Lo' Pang,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Công ty con,Bán hàng hóa và cung cấp dịch vụ Cung cấp dịch vụ xây dựng,3.452.085,4.420.359,,,3452085.0,4420359.0
Công ty Cổ phần Gia súc Lo' Pang,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Công ty con,Bán tài sản cố định,-,3.764.302,,,,3764302.0
Công ty Cổ phần Gia súc Lo' Pang,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Công ty con,Bán tài sản cố định,-,1.748.337,,,,1748337.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Cung cấp dịch vụ xây dựng,-,27.595.944,,,,27595944.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,-,5.501.714,,,,5501714.0
Các công ty khác,Phải thu ngắn hạn của khách hàng (TM số 5) > Các công ty khác,Các công ty khác,Công ty liên quan,Các khoản khác,1.084.985,743.181,,,1084985.0,743181.0
,,,,,183.028.500,182.995.617,,,183028500.0,182995617.0
