row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng lập trong năm > Trừ: Hoàn nhập dự phòng trong năm > Trừ: Xóa số dự phòng trong năm > Số cuối năm,Năm nay > 1.324.625.696 > 51.923.896 > (1.309.177.663) > - > 67.371.929,Ngàn VNDNăm trước > 1.748.914.571 > 481.237.291 > (904.349.166) > (1.177.000) > 1.324.625.696,numeric__Năm nay > 1.324.625.696 > 51.923.896 > (1.309.177.663) > - > 67.371.929,numeric__Ngàn VNDNăm trước > 1.748.914.571 > 481.237.291 > (904.349.166) > (1.177.000) > 1.324.625.696
Trong đó:,Trong đó:,Trong đó:,,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,49.845.666,762.455.900,49845666.0,762455900.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,17.526.263,562.169.796,17526263.0,562169796.0
