row_label_raw,row_label_full,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Lĩnh vực kinh doanh,Lĩnh vực kinh doanh,Lĩnh vực kinh doanh,Tỷ lệsở hữuvà biểu quyết%,Giá gốc đầu tưNgàn VND,Dự phòngNgàn VND,Tỷ lệsở hữuvà biểu quyết%,Giá gốc đầu tưNgàn VND,Dự phòngNgàn VND,,,,,,
Tư vấn và thiết kế,Lĩnh vực kinh doanh > Tư vấn và thiết kế,Tư vấn và thiết kế,"25,00",5.000.000,(5.000.000),"25,00",5.000.000,(5.000.000),25.0,5000000.0,-5000000.0,25.0,5000000.0,-5000000.0
