row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngân VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngân VNDNăm trước
Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công tyliên quan,Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa,6.812.2912.000.00098.919-,14.273.33625.910.692-182.636,,,,
Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty con,Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,4.047.501622.490-,4.047.501533.0562.718.394679.334,,,,4.047501533056272e+25
Ông Nguyễn KimLuân,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Ông Nguyễn KimLuân,Ông Nguyễn KimLuân,Bên liên quan,Lãi cho vayCho vay,1.199.133-,4.180.123114.260.000,,,,4180123114260000.0
Ông Đoàn NguyênĐức,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Ông Đoàn NguyênĐức,Ông Đoàn NguyênĐức,Chủ tịchHĐQT,Lãi cho vayCho vayChi phí lãi HĐHTKDDihi hộ,1.874.921-,7.486.903104.042.0001.755.556146.430,,,,7.486903104042e+28
Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Công ty có cùngthành viên HĐQT,Bán hàng hóa vàcung cấp dịch vụMua hàng hóaMua tài sản,1.846.282-,68.812984.349566.154,,,,6.881298434956615e+16
Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Công tyliên quan,Bán hàng hóa vàcung cấp dịch vụMua hàng hóa,515.619-,669.18513.805,,,,66918513805.0
Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Công ty con,Bán hàng hóa vàcung cấp dịch vụ,224.358,-,,,224358.0,
Công ty TNHHMTV Bờ Y,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty TNHHMTV Bờ Y,Công ty TNHHMTV Bờ Y,Công tyliên quan,Cho mượnChi hộ,200.0009.500,-,,,2000009500.0,
Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Công ty con,Bán hàng hóa vàcung cấp dịch vụChi hộ,-,5.086.373829.705,,,,5086373829705.0
Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Công ty Cổ phầnGỗ Hoàng AnhGia Lai > Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Công ty Cổ phầnĐầu tư Bất Độngsản An Phú,Công tyliên quan,Mua dịch vụ,-,646.600,,,,646600.0
