row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 1.494.860,Tăngtrong năm > 11.310.597,Giảmtrong năm > (10.689.292),Ngàn VNDSố cuối năm > 2.116.165,numeric__Số đầu năm > 1.494.860,numeric__Tăngtrong năm > 11.310.597,numeric__Giảmtrong năm > (10.689.292),numeric__Ngàn VNDSố cuối năm > 2.116.165
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,889.044,4.338.014,(3.358.445),1.868.613,889044.0,4338014.0,-3358445.0,1868613.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,65.230,-,-,65.230,65230.0,,,65230.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,12.078,(8.169),3.909,,12078.0,-8169.0,3909.0
Khác,Khác,Khác,-,1.251.768,(1.039.475),212.293,,1251768.0,-1039475.0,212293.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.449.134,16.912.457,(15.095.381),4.266.210,2449134.0,16912457.0,-15095381.0,4266210.0
