row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,,
Công ty Cổ phần Gia súc Lơ Pang,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty con,Lãi cho vay,86.403.261,31.534.787,,,86403261.0,31534787.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Lãi cho vay,85.119.935,36.286.633,,,85119935.0,36286633.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,10.342.357,10.021.989,,,10342357.0,10021989.0
Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,1.588.193,1.538.997,,,1588193.0,1538997.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Lãi cho vay,-,57.184.692,,,,57184692.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,-,43.144.374,,,,43144374.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Lãi cho vay,-,24.690.715,,,,24690715.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu dài hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Lãi cho vay,-,19.195.136,,,,19195136.0
Công ty Cổ phần Lê Me,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Lãi cho vay,-,9.624.571,,,,9624571.0
,,,,,183.453.746,233.221.894,,,183453746.0,233221894.0
