row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
Công ty Cổ phần Lê Me,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Lãi cho vay,649.991.651,404.394.310,,,649991651.0,404394310.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Chi trả hộ Lãi cho vay,576.679.71023.242.638,571.054.957-,,,5.766797102324264e+16,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Chi trả hộ Lãi cho vay,409.253.57797.745.436,64.280.709922.245,,,4.092535779774544e+16,64280709922245.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Chi trả hộ Khác,197.920.33283.837.000,144.184.7672.630.603,,,1.9792033283837e+16,1441847672630603.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Lãi cho vay Chi trả hộ Khác,61.164.5271.300.00022.000,-1.300.00022.000,,,6.116452713000002e+19,-130000022000.0
Ông Nguyễn Kim Luân,Phải thu ngắn hạn khác (TM số 8) > Ông Nguyễn Kim Luân,Ông Nguyễn Kim Luân,Bên liên quan,Lãi cho vay,4.810.255,4.180.123,,,4810255.0,4180123.0
Công ty Cổ phần Gia súc Lo' Pang,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Công ty con,Lãi cho vay Khác,-1.015.617,26.200.6851.520.465,,,-1015617.0,262006851520465.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,-,23.856.246,,,,23856246.0
Ông Đoàn Nguyên Đức,Phải thu ngắn hạn khác (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Lãi cho vay Khác,-,7.486.90310.812,,,,748690310812.0
Các bên khác,Phải thu ngắn hạn khác (TM số 8) > Các bên khác,Các bên khác,Bên liên quan,Khác,1.087.959,1.755.422,,,1087959.0,1755422.0
,,,,,2.108.070.702,1.253.800.247,,,2108070702.0,1253800247.0
