row_label_raw,row_label_full,Ông Nguyễn Sinh Khang > Ông Lê Như Linh,Chủ tịch (Bố nhiệm từ ngày 26 tháng 12 năm 2018) > Chủ tịch (Miễn nhiệm từ ngày 26 tháng 12 năm 2018),numeric__Chủ tịch (Bố nhiệm từ ngày 26 tháng 12 năm 2018) > Chủ tịch (Miễn nhiệm từ ngày 26 tháng 12 năm 2018)
Ông Dương Mạnh Sơn,Ông Dương Mạnh Sơn,Ông Dương Mạnh Sơn,Thành viên,
Ông Phan Quốc Nghĩa,Ông Phan Quốc Nghĩa,Ông Phan Quốc Nghĩa,Thành viên,
Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Thành viên,
Ông Nguyễn Anh Tuãn,Ông Nguyễn Anh Tuãn,Ông Nguyễn Anh Tuãn,Thành viên (Bố nhiệm từ ngày 27 tháng 4 năm 2018),
Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Thành viên (Bố nhiệm từ ngày 27 tháng 4 năm 2018),
