row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,60.952.471.943,-,,31.0,60952471943.0,
2.,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,-,6.932.061.739.426,,33.0,,6932061739426.0
3.,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(3.958.883.231.013),(5.241.894.000.000),,34.0,-3958883231013.0,-5241894000000.0
4.,III. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(7.655.800.000.000),(7.264.565.850.000),,36.0,-7655800000000.0,-7264565850000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(11.553.730.759.070),(5.574.398.110.574),,40.0,-11553730759070.0,-5574398110574.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(6.578.432.166.797),152.022.609.770,,50.0,-6578432166797.0,152022609770.0
,,,Tiền và tương đương tiền đầu năm,60,11.276.168.329.713,11.125.088.883.415,,60.0,11276168329713.0,11125088883415.0
,,,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,61,1.206.880.963,(943.163.472),,61.0,1206880963.0,-943163472.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,4.698.943.043.879,11.276.168.329.713,,70.0,4698943043879.0,11276168329713.0
Đặng Thị Hồng Yên Nguời lập biểu,Đặng Thị Hồng Yên Nguời lập biểu,Đặng Thị Hồng Yên Nguời lập biểu,Đặng Thị Hồng Yên Nguời lập biểu,Trần Thị Hoàng Anh Phó Ban Kẻ toán phụ trách công tác kể toán,Dương Mạnh Sơn Tổng Giám đốc,Dương Mạnh Sơn Tổng Giám đốc,,,,
