row_label_raw,row_label_full,Công ty Cổ phần Phân phối khí Thắp áp Dầu khí Việt Nam > Công ty Cổ phần Kinh doanh Khí Miền Nam > Tổng Công ty Điện lực Dầu khí Việt Nam,Số cuối nămVND > 834.344.228.843 > 758.408.426.530 > 639.274.563.146,Số đầu nămVND > 1.140.617.507.338 > 199.567.238.643 > 488.191.304,numeric__Số cuối nămVND > 834.344.228.843 > 758.408.426.530 > 639.274.563.146,numeric__Số đầu nămVND > 1.140.617.507.338 > 199.567.238.643 > 488.191.304
SK Gas Company Limited,SK Gas Company Limited,SK Gas Company Limited,456.081.140.625,564.602.647.380,456081140625.0,564602647380.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,309.810.080.209,286.067.009.451,309810080209.0,286067009451.0
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,234.392.662.645,-,234392662645.0,
Công ty Cổ phần Kinh doanh Khí Miền Bắc,Công ty Cổ phần Kinh doanh Khí Miền Bắc,Công ty Cổ phần Kinh doanh Khí Miền Bắc,203.508.667.756,93.361.247.758,203508667756.0,93361247758.0
Công ty TNHH TotalGaz Việt Nam,Công ty TNHH TotalGaz Việt Nam,Công ty TNHH TotalGaz Việt Nam,180.047.466.226,261.020.927.961,180047466226.0,261020927961.0
Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,-,803.471.517.266,,803471517266.0
Công ty TNHH MTV-Tổng Công ty Phát điện 3,Công ty TNHH MTV-Tổng Công ty Phát điện 3,Công ty TNHH MTV-Tổng Công ty Phát điện 3,-,255.359.655.541,,255359655541.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,1.243.683.901.506,1.186.061.851.910,1243683901506.0,1186061851910.0
,,,4.859.551.137.486,4.790.617.794.552,4859551137486.0,4790617794552.0
Phải thu ngắn hạn của khách hàng là các bên liên quan (Chi tiết tại Thuyết minh số 35),Phải thu ngắn hạn của khách hàng là các bên liên quan (Chi tiết tại Thuyết minh số 35),Phải thu ngắn hạn của khách hàng là các bên liên quan (Chi tiết tại Thuyết minh số 35),3.100.218.663.786,2.074.798.976.342,3100218663786.0,2074798976342.0
