row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn_1,Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn_1,Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Đầu tư nằm giữ đến ngày đáo hạn_1,numeric__Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn_1,numeric__Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Đầu tư nằm giữ đến ngày đáo hạn
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),21.350.000.000.000,21.350.000.000.000,13.450.000.000.000,13.450.000.000.000,,,,21350000000000.0,21350000000000.0,13450000000000.0,13450000000000.0,,
(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,(i) Phản ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,,,,,,,
b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,,,,,,,
,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
,,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,,
Đầu tư vào công ty con,b. Đầu tư tài chính dài hạn: > Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,3.701.528.571.633,(694.407.735.752),4.119.230.203.548,3.701.528.571.633,(536.377.996.359),4.311.327.490.441,,3701528571633.0,-694407735752.0,4119230203548.0,3701528571633.0,-536377996359.0,4311327490441.0
Công ty Cổ phần Sản xuất ống (ii) thép Dầu khí Việt Nam,b. Đầu tư tài chính dài hạn: > Công ty Cổ phần Sản xuất ống (ii) thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất ống (ii) thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất ống (ii) thép Dầu khí Việt Nam,1.858.375.690.000,(683.218.308.702),1.175.157.381.298,1.858.375.690.000,(536.377.996.359),1.321.997.693.641,,1858375690000.0,-683218308702.0,1175157381298.0,1858375690000.0,-536377996359.0,1321997693641.0
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,b. Đầu tư tài chính dài hạn: > Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,837.605.785.000,-,1.713.465.000.000,837.605.785.000,-,1.704.375.000.000,,837605785000.0,,1713465000000.0,837605785000.0,,1704375000000.0
Công ty Cổ phần CNG Việt Nam,b. Đầu tư tài chính dài hạn: > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,481.819.822.512,-,393.120.000.000,481.819.822.512,-,482.328.000.000,,481819822512.0,,393120000000.0,481819822512.0,,482328000000.0
Công ty Cổ phần Kinh doanhKhi Miền Nam,b. Đầu tư tài chính dài hạn: > Công ty Cổ phần Kinh doanhKhi Miền Nam,Công ty Cổ phần Kinh doanhKhi Miền Nam,Công ty Cổ phần Kinh doanhKhi Miền Nam,226.460.000.000,-,532.473.685.800,226.460.000.000,-,440.789.475.000,,226460000000.0,,532473685800.0,226460000000.0,,440789475000.0
