row_label_raw,row_label_full,Cam kết mua hàng,Sản lượng cam kết,Thời gian cam kết,numeric__Sản lượng cam kết,numeric__Thời gian cam kết
Cam kết mua khí từ chủ khíLô 06.1,Cam kết mua khí từ chủ khíLô 06.1,Cam kết mua khí từ chủ khíLô 06.1,"Tôi thiếu là 2,7 tỷ m3/năm",Đến hết giai đoạn bình ổn củaLô 06.1,,
Cam kết mua khí từ chủ khíLô 11.2,Cam kết mua khí từ chủ khíLô 11.2,Cam kết mua khí từ chủ khíLô 11.2,"Tôi thiếu là 1,216 tỷ m3/năm",Đến hết giai đoạn bình ổn củaLô 11.2,,
Cam kết mua khí từ chủ khíLô 05.3 và 05.2,Cam kết mua khí từ chủ khíLô 05.3 và 05.2,Cam kết mua khí từ chủ khíLô 05.3 và 05.2,"Tôi thiếu là 1,368 tỷ m3/năm",Đến hết giai đoạn bình ổn củaLô 05-2 và Lô 05-3,,
