row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị văn phòng,Khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.862.803.388.151,891.461.483.423,125.171.015.687,295.176.705.453,31.364.066.684.300,37.538.679.277.014,4862803388151.0,891461483423.0,125171015687.0,295176705453.0,31364066684300.0,37538679277014.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,11.372.393.826,14.799.914.435,5.231.756.607,11.965.191.998,4.791.998.363,48.161.255.229,11372393826.0,14799914435.0,5231756607.0,11965191998.0,4791998363.0,48161255229.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.690.125.681.442,3.914.069.621.300,87.610.813.607,-,-,5.691.806.116.349,1690125681442.0,3914069621300.0,87610813607.0,,,5691806116349.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(515.369.073),(72.266.088),-,(249.604.416),(100.000.000),(937.239.577),-515369073.0,-72266088.0,,-249604416.0,-100000000.0,-937239577.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(3.731.514.356),(436.861.023),-,(1.360.775.036),-,(5.529.150.415),-3731514356.0,-436861023.0,,-1360775036.0,,-5529150415.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.560.054.579.990,4.819.821.892.047,218.013.585.901,305.531.517.999,31.368.758.682.663,43.272.180.258.600,6560054579990.0,4819821892047.0,218013585901.0,305531517999.0,31368758682663.0,43272180258600.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.718.818.815.581,519.661.438.199,115.820.772.848,197.461.721.194,22.151.350.043.306,25.703.112.791.128,2718818815581.0,519661438199.0,115820772848.0,197461721194.0,22151350043306.0,25703112791128.0
Trích khấu hao/hao mòn,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao/hao mòn,Trích khấu hao/hao mòn,498.120.291.075,392.341.174.470,11.284.351.348,42.962.322.708,1.420.387.688.529,2.365.095.828.130,498120291075.0,392341174470.0,11284351348.0,42962322708.0,1420387688529.0,2365095828130.0
