row_label_raw,row_label_full,"Trích trước chi phí mua, xử lý và vận chuyển khí- Trích trước chi phí mua và vận chuyển khí Nam Côn Sơn",Số cuối nămVND > 4.151.352.384.590 > 3.008.942.751.075,Số đầu nămVND > 3.642.442.607.337 > 2.187.385.066.421,numeric__Số cuối nămVND > 4.151.352.384.590 > 3.008.942.751.075,numeric__Số đầu nămVND > 3.642.442.607.337 > 2.187.385.066.421
- Trích trước chi phí mua và xử lý khí Cửu Long,- Trích trước chi phí mua và xử lý khí Cửu Long,- Trích trước chi phí mua và xử lý khí Cửu Long,727.086.054.826,969.585.270.279,727086054826.0,969585270279.0
- Trích trước chi phí mua và xử lý khí và condensate Thiên Úng Đại Hùng,- Trích trước chi phí mua và xử lý khí và condensate Thiên Úng Đại Hùng,- Trích trước chi phí mua và xử lý khí và condensate Thiên Úng Đại Hùng,248.273.111.621,224.890.306.167,248273111621.0,224890306167.0
- Trích trước chi phí mua khí PM3 CAA và 46 - Cái Nước,- Trích trước chi phí mua khí PM3 CAA và 46 - Cái Nước,- Trích trước chi phí mua khí PM3 CAA và 46 - Cái Nước,87.071.393.627,179.898.187.152,87071393627.0,179898187152.0
- Trích trước chi phí mua khí Hàm Rồng Thái Bình,- Trích trước chi phí mua khí Hàm Rồng Thái Bình,- Trích trước chi phí mua khí Hàm Rồng Thái Bình,79.979.073.441,80.683.777.318,79979073441.0,80683777318.0
Điều chỉnh chi phí mua khí Cửu Long cho giai đoạn 2016 - 2018 do thay đổi nhiệt trị (i),Điều chỉnh chi phí mua khí Cửu Long cho giai đoạn 2016 - 2018 do thay đổi nhiệt trị (i),Điều chỉnh chi phí mua khí Cửu Long cho giai đoạn 2016 - 2018 do thay đổi nhiệt trị (i),840.097.798.853,-,840097798853.0,
Chi phí phải trả nhà thầu xây dựng cơ bản,Chi phí phải trả nhà thầu xây dựng cơ bản,Chi phí phải trả nhà thầu xây dựng cơ bản,250.171.321.526,483.288.224.965,250171321526.0,483288224965.0
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,78.366.909.286,94.643.556.750,78366909286.0,94643556750.0
Chi phí nhà điều hành Nam Côn Sơn,Chi phí nhà điều hành Nam Côn Sơn,Chi phí nhà điều hành Nam Côn Sơn,45.997.693.232,34.316.439.613,45997693232.0,34316439613.0
"Trích trước chi phí bảo dưỡng, sửa chữa","Trích trước chi phí bảo dưỡng, sửa chữa","Trích trước chi phí bảo dưỡng, sửa chữa",20.437.116.191,30.438.745.563,20437116191.0,30438745563.0
Các khoản khác,Các khoản khác,Các khoản khác,38.580.295.707,27.668.508.171,38580295707.0,27668508171.0
,,,5.425.003.519.385,4.312.798.082.399,5425003519385.0,4312798082399.0
Chi phí phải trả các bên liên quan(chi tiết tại Thuyết minh số 35),Chi phí phải trả các bên liên quan(chi tiết tại Thuyết minh số 35),Chi phí phải trả các bên liên quan(chi tiết tại Thuyết minh số 35),2.662.903.987.967,2.105.173.024.644,2662903987967.0,2105173024644.0
