row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,Phần mềm máy tínhVND,TổngVND,numeric__Quyền sử dụng đấtVND,numeric__Phần mềm máy tínhVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,306.470.605.955,105.759.096.922,412.229.702.877,306470605955.0,105759096922.0,412229702877.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,25.025.052.630,25.025.052.630,,25025052630.0,25025052630.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,306.470.605.955,130.784.149.552,437.254.755.507,306470605955.0,130784149552.0,437254755507.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.039.366.037,68.794.940.063,71.834.306.100,3039366037.0,68794940063.0,71834306100.0
Trích khấu hao,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao,Trích khấu hao,332.944.764,18.656.430.153,18.989.374.917,332944764.0,18656430153.0,18989374917.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.372.310.801,87.451.370.216,90.823.681.017,3372310801.0,87451370216.0,90823681017.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,303.431.239.918,36.964.156.859,340.395.396.777,303431239918.0,36964156859.0,340395396777.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,303.098.295.154,43.332.779.336,346.431.074.490,303098295154.0,43332779336.0,346431074490.0
