row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrà nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrà nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrà nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrà nợ
,,,VND,VND,VND,VND,,,,
Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,453.970.562.375,453.970.562.375,562.662.478.050,562.662.478.050,453970562375.0,453970562375.0,562662478050.0,562662478050.0
Trafigura Pte Ltd.,Trafigura Pte Ltd.,Trafigura Pte Ltd.,464.518.162.476,464.518.162.476,-,-,464518162476.0,464518162476.0,,
Liên doanh Việt - NgaVietsovPetro,Liên doanh Việt - NgaVietsovPetro,Liên doanh Việt - NgaVietsovPetro,172.169.591.633,172.169.591.633,228.292.614.176,228.292.614.176,172169591633.0,172169591633.0,228292614176.0,228292614176.0
Petredec International Pte. Ltd.,Petredec International Pte. Ltd.,Petredec International Pte. Ltd.,183.416.461.318,183.416.461.318,180.733.845.023,180.733.845.023,183416461318.0,183416461318.0,180733845023.0,180733845023.0
Công ty Cổ phần Lộc Hóa dầuBình Sơn (trước đây là Cống tyTNHH MTV Lộc hóa dầu BìnhSơn),Công ty Cổ phần Lộc Hóa dầuBình Sơn (trước đây là Cống tyTNHH MTV Lộc hóa dầu BìnhSơn),Công ty Cổ phần Lộc Hóa dầuBình Sơn (trước đây là Cống tyTNHH MTV Lộc hóa dầu BìnhSơn),135.460.121.321,135.460.121.321,135.464.333.469,135.464.333.469,135460121321.0,135460121321.0,135464333469.0,135464333469.0
Tổng Công ty Cổ phần Dịch vụKỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụKỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụKỹ thuật Dầu khí Việt Nam,108.093.930.612,108.093.930.612,80.012.979.219,80.012.979.219,108093930612.0,108093930612.0,80012979219.0,80012979219.0
Cơ quan Tập đoàn Dầu khí ViệtNam,Cơ quan Tập đoàn Dầu khí ViệtNam,Cơ quan Tập đoàn Dầu khí ViệtNam,92.293.519.979,92.293.519.979,65.164.628.255,65.164.628.255,92293519979.0,92293519979.0,65164628255.0,65164628255.0
"POSCO Engineering &Construction Co., Ltd.","POSCO Engineering &Construction Co., Ltd.","POSCO Engineering &Construction Co., Ltd.",63.142.647.176,63.142.647.176,30.791.771.239,30.791.771.239,63142647176.0,63142647176.0,30791771239.0,30791771239.0
"Petco Trading Labuan Co., Ltd.","Petco Trading Labuan Co., Ltd.","Petco Trading Labuan Co., Ltd.",55.456.625.582,55.456.625.582,-,-,55456625582.0,55456625582.0,,
Tổng Công ty Cổ phần Vận tảiDầu khí,Tổng Công ty Cổ phần Vận tảiDầu khí,Tổng Công ty Cổ phần Vận tảiDầu khí,49.677.809.574,49.677.809.574,41.450.716.909,41.450.716.909,49677809574.0,49677809574.0,41450716909.0,41450716909.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,213.519.444.153,213.519.444.153,153.049.748.223,153.049.748.223,213519444153.0,213519444153.0,153049748223.0,153049748223.0
,,,1.991.718.876.199,1.991.718.876.199,1.477.623.114.563,1.477.623.114.563,1991718876199.0,1991718876199.0,1477623114563.0,1477623114563.0
Phải trả người bán ngắn hạnlà các bên liên quan (Chi tiếttại Thuyết minh số 35),Phải trả người bán ngắn hạnlà các bên liên quan (Chi tiếttại Thuyết minh số 35),Phải trả người bán ngắn hạnlà các bên liên quan (Chi tiếttại Thuyết minh số 35),587.692.790.729,587.692.790.729,589.644.176.146,589.644.176.146,587692790729.0,587692790729.0,589644176146.0,589644176146.0
