row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,38.435.168.257.660,35.291.028.454.430,,100.0,,38435168257660.0,35291028454430.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,4.698.943.043.879,11.276.168.329.713,,110.0,4.0,4698943043879.0,11276168329713.0
1.,1.,1.,Tiền,111,,622.777.908.148,1.200.003.193.982,,111.0,,622777908148.0,1200003193982.0
2.,2.,2.,Các khoản tương đương tiền,112,,4.076.165.135.731,10.076.165.135.731,,112.0,,4076165135731.0,10076165135731.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,21.350.000.000.000,13.450.000.000.000,,120.0,5.0,21350000000000.0,13450000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,21.350.000.000.000,13.450.000.000.000,,123.0,,21350000000000.0,13450000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,10.771.940.909.186,9.295.392.252.313,,130.0,,10771940909186.0,9295392252313.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,4.859.551.137.486,4.790.617.794.552,,131.0,6.0,4859551137486.0,4790617794552.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,58.628.724.573,97.577.221.635,,132.0,7.0,58628724573.0,97577221635.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,6.182.101.055.702,4.631.268.498.992,,136.0,8.0,6182101055702.0,4631268498992.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(328.340.008.575),(224.071.262.866),,137.0,9.0,-328340008575.0,-224071262866.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.414.935.018.277,1.110.579.593.944,,140.0,10.0,1414935018277.0,1110579593944.0
1.,1.,1.,Hàng tồn kho,141,,1.460.093.973.387,1.177.017.523.802,,141.0,,1460093973387.0,1177017523802.0
2.,2.,2.,Dự phòng giám giá hàng tồn kho,149,,(45.158.955.110),(66.437.929.858),,149.0,,-45158955110.0,-66437929858.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,199.349.286.318,158.888.278.460,,150.0,,199349286318.0,158888278460.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,67.353.776.720,40.043.767.228,,151.0,11.0,67353776720.0,40043767228.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,89.571.002.394,89.700.648.672,,152.0,,89571002394.0,89700648672.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,42.424.507.204,29.143.862.560,,153.0,16.0,42424507204.0,29143862560.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,20.310.540.392.453,22.287.439.152.216,,200.0,,20310540392453.0,22287439152216.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,199.187.767.570,161.898.076.588,,210.0,,199187767570.0,161898076588.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,67.561.613.929,62.322.571.154,,212.0,7.0,67561613929.0,62322571154.0
2.,2.,2.,Phải thu dài hạn khác,216,8,131.626.153.641,99.575.505.434,,216.0,8.0,131626153641.0,99575505434.0
II.,II.,II.,Tài sản cố định,220,,15.553.466.468.036,12.175.961.882.663,,220.0,,15553466468036.0,12175961882663.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,15.207.035.393.546,11.835.566.485.886,,221.0,12.0,15207035393546.0,11835566485886.0
,,,- Nguyên giá,222,,43.272.180.258.600,37.538.679.277.014,,222.0,,43272180258600.0,37538679277014.0
,,,- Giá trị hao mòn lũy kế,223,,(28.065.144.865.054),(25.703.112.791.128),,223.0,,-28065144865054.0,-25703112791128.0
2.,2.,2.,Tài sản cố định vô hình,227,13,346.431.074.490,340.395.396.777,,227.0,13.0,346431074490.0,340395396777.0
,,,- Nguyên giá,228,,437.254.755.507,412.229.702.877,,228.0,,437254755507.0,412229702877.0
,,,- Giá trị hao mòn lũy kế,229,,(90.823.681.017),(71.834.306.100),,229.0,,-90823681017.0,-71834306100.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.200.779.857.385,6.541.440.862.485,,240.0,,1200779857385.0,6541440862485.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,1.200.779.857.385,6.541.440.862.485,,242.0,14.0,1200779857385.0,6541440862485.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,3.060.140.336.559,3.247.270.575.274,,250.0,5.0,3060140336559.0,3247270575274.0
1.,1.,1.,Đầu tư vào công ty con,251,,3.701.528.571.633,3.701.528.571.633,,251.0,,3701528571633.0,3701528571633.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,58.000.000.000,58.000.000.000,,252.0,,58000000000.0,58000000000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,-,24.120.000.000,,253.0,,,24120000000.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(699.388.235.074),(536.377.996.359),,254.0,,-699388235074.0,-536377996359.0
V.,V.,V.,Tài sản dài hạn khác,260,,296.965.962.903,160.867.755.206,,260.0,,296965962903.0,160867755206.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,296.965.962.903,160.867.755.206,,261.0,11.0,296965962903.0,160867755206.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,58.745.708.650.113,57.578.467.606.646,,270.0,,58745708650113.0,57578467606646.0
