row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
,,,VND,VND,VND,VND,,,,
a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,112.979.508.062,-,99.957.575.774,-,112979508062.0,,99957575774.0,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,50.000.000.000,-,50.000.000.000,-,50000000000.0,,50000000000.0,
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,48.569.198.216,-,46.776.684.769,-,48569198216.0,,46776684769.0,
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,9.906.135.711,-,-,-,9906135711.0,,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,2.892.185.879,-,2.328.881.691,-,2892185879.0,,2328881691.0,
Công ty TNHH Gas Khánh Hòa,Công ty TNHH Gas Khánh Hòa,Công ty TNHH Gas Khánh Hòa,852.009.314,-,852.009.314,-,852009314.0,,852009314.0,
Công ty TNHH Đầu tư Minh Quang,Công ty TNHH Đầu tư Minh Quang,Công ty TNHH Đầu tư Minh Quang,759.978.942,-,-,-,759978942.0,,,
b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,160.333.942.330,48.095.562.699,34.311.457.627,10.293.437.288,160333942330.0,48095562699.0,34311457627.0,10293437288.0
Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,73.272.262.529,21.981.678.759,-,-,73272262529.0,21981678759.0,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,66.116.174.924,19.834.852.477,563.304.188,168.991.256,66116174924.0,19834852477.0,563304188.0,168991256.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,13.883.863.752,4.160.539.126,22.499.138.786,6.749.741.636,13883863752.0,4160539126.0,22499138786.0,6749741636.0
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,7.061.641.125,2.118.492.337,9.906.135.711,2.971.840.713,7061641125.0,2118492337.0,9906135711.0,2971840713.0
Công ty TNHH Đầu tư Minh Quang,Công ty TNHH Đầu tư Minh Quang,Công ty TNHH Đầu tư Minh Quang,-,-,1.342.878.942,402.863.683,,,1342878942.0,402863683.0
c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,192.357.488.360,96.178.744.180,162.540.629.226,81.270.314.612,192357488360.0,96178744180.0,162540629226.0,81270314612.0
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,178.307.166.204,89.153.583.102,66.116.174.924,33.058.087.462,178307166204.0,89153583102.0,66116174924.0,33058087462.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,14.050.322.156,7.025.161.078,14.752.536.375,7.376.268.188,14050322156.0,7025161078.0,14752536375.0,7376268188.0
Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,-,-,74.610.276.802,37.305.138.399,,,74610276802.0,37305138399.0
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,-,-,7.061.641.125,3.530.820.563,,,7061641125.0,3530820563.0
d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,23.151.189.005,16.207.812.303,62.751.173.797,43.925.821.658,23151189005.0,16207812303.0,62751173797.0,43925821658.0
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,16.010.021.153,11.207.014.807,55.352.403.784,38.746.682.649,16010021153.0,11207014807.0,55352403784.0,38746682649.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,7.141.167.852,5.000.797.496,7.398.770.013,5.179.139.009,7141167852.0,5000797496.0,7398770013.0,5179139009.0
,,,488.822.127.757,160.482.119.182,359.560.836.424,135.489.573.558,488822127757.0,160482119182.0,359560836424.0,135489573558.0
