row_label_raw,row_label_full,Số dư đầu năm trước,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 189.746.727.266,Cổ phiếu quỹ VND > (40.111.223.937),Quỹ đầu tư phát triển VND > 13.096.253.148.710,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước VND > 577.896.944.428,Lợi nhuận sau thuế chưa phân phối năm nay VND > 6.308.422.827.520,Tổng VND > 39.271.708.423.987,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 189.746.727.266,numeric__Cổ phiếu quỹ VND > (40.111.223.937),numeric__Quỹ đầu tư phát triển VND > 13.096.253.148.710,numeric__Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước VND > 577.896.944.428,numeric__Lợi nhuận sau thuế chưa phân phối năm nay VND > 6.308.422.827.520,numeric__Tổng VND > 39.271.708.423.987
Kết chuyển số dư,Kết chuyển số dư,Kết chuyển số dư,-,-,-,-,6.308.422.827.520,(6.308.422.827.520),-,,,,,6308422827520.0,-6308422827520.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,9.670.465.532.865,9.670.465.532.865,,,,,,9670465532865.0,9670465532865.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,1.443.000.000.000,(1.443.000.000.000),-,-,,,,1443000000000.0,-1443000000000.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(97.500.000.000),(105.500.000.000),(203.000.000.000),,,,,-97500000000.0,-105500000000.0,-203000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(3.252.691.719.000),(3.826.696.140.000),(7.079.387.859.000),,,,,-3252691719000.0,-3826696140000.0,-7079387859000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,19.139.500.000.000,189.746.727.266,(40.111.223.937),14.539.253.148.710,2.093.128.052.948,5.738.269.392.865,41.659.786.097.852,19139500000000.0,189746727266.0,-40111223937.0,14539253148710.0,2093128052948.0,5738269392865.0,41659786097852.0
Kết chuyển số dư,Kết chuyển số dư,Kết chuyển số dư,-,-,-,-,5.738.269.392.865,(5.738.269.392.865),-,,,,,5738269392865.0,-5738269392865.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,11.381.803.033.759,11.381.803.033.759,,,,,,11381803033759.0,11381803033759.0
"Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(129.500.000.000),(117.500.000.000),(247.000.000.000),,,,,-129500000000.0,-117500000000.0,-247000000000.0
Trích quỹ thưởng Ban quản lý điều hành (i),Trích quỹ thưởng Ban quản lý điều hành (i),Trích quỹ thưởng Ban quản lý điều hành (i),-,-,-,-,(2.235.500.000),-,(2.235.500.000),,,,,-2235500000.0,,-2235500000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(3.827.900.000.000),(3.827.900.000.000),(7.655.800.000.000),,,,,-3827900000000.0,-3827900000000.0,-7655800000000.0
Bán cổ phiếu quỹ (ii),Bán cổ phiếu quỹ (ii),Bán cổ phiếu quỹ (ii),-,20.932.814.031,40.111.223.937,-,-,-,61.044.037.968,,20932814031.0,40111223937.0,,,,61044037968.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,19.139.500.000.000,210.679.541.297,-,14.539.253.148.710,3.871.761.945.813,7.436.403.033.759,45.197.597.669.579,19139500000000.0,210679541297.0,,14539253148710.0,3871761945813.0,7436403033759.0,45197597669579.0
