row_label_raw,row_label_full,Ngân hàng TMCPPhương Đông > Ngân hàng TNHH MTVStandard Chartered(Viết Nam),Số cuối nămVND > 649.227.232.804 > 189.063.219.440,Ngày đảo hạn > Từ ngày 26 tháng 5năm 2023 tới ngày 31tháng 5 năm 2025 > Từ ngày 22 tháng 11năm 2024 tới ngày 22tháng 5 năm 2026,Mục đích vay > Tài trợ đầu tưphát triển dự ánIzumi,"Lãi suất%/năm > 9,10% - 9,80% > 10,20%","Hình thức đảm bảo > Quyền sử dụng đất thuộc dự án Izumi và khoản phải thu phát sinh trong tương lai từ Hợp đồng mua bán nhà ở thuộc dự án của DNWF (TM số 11). > Thừa 2479 và thừa 226, Tờ bản đồ số 5 và thừa 779, Tờ bản đồ số 6, Xã An Thạnh,Huyện Bến Lức, Tĩnh Long An của Nam Long VCD (TM số 11)",numeric__Số cuối nămVND > 649.227.232.804 > 189.063.219.440,numeric__Ngày đảo hạn > Từ ngày 26 tháng 5năm 2023 tới ngày 31tháng 5 năm 2025 > Từ ngày 22 tháng 11năm 2024 tới ngày 22tháng 5 năm 2026,numeric__Mục đích vay > Tài trợ đầu tưphát triển dự ánIzumi,"numeric__Lãi suất%/năm > 9,10% - 9,80% > 10,20%","numeric__Hình thức đảm bảo > Quyền sử dụng đất thuộc dự án Izumi và khoản phải thu phát sinh trong tương lai từ Hợp đồng mua bán nhà ở thuộc dự án của DNWF (TM số 11). > Thừa 2479 và thừa 226, Tờ bản đồ số 5 và thừa 779, Tờ bản đồ số 6, Xã An Thạnh,Huyện Bến Lức, Tĩnh Long An của Nam Long VCD (TM số 11)"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,838.290.452.244,,,,,838290452244.0,,,,
Trong đó:- Vay dài hạn- Vay dài hancedến hạn trả,Trong đó:- Vay dài hạn- Vay dài hancedến hạn trả,Trong đó:- Vay dài hạn- Vay dài hancedến hạn trả,810.645.887.01927.644.565.225,,,,,8.106458870192764e+22,,,,
