row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.852.706.600.000,988.508.364.367,(382.934.347.400),10.709.490.423,2.216.611.139,2.131.776.750.845,5.602.983.469.374,2852706600000.0,988508364367.0,-382934347400.0,10709490423.0,2216611139.0,2131776750845.0,5602983469374.0
Tái phát hànhcổ phiếu quỹ,Năm trước > Tái phát hànhcổ phiếu quỹ,Tái phát hànhcổ phiếu quỹ,,259.410.911.392,382.934.347.400,,,,642.345.258.792,,259410911392.0,382934347400.0,,,,642345258792.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,600.000.000.000,1.395.104.031.000,,,,,1.995.104.031.000,600000000000.0,1395104031000.0,,,,,1995104031000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,124.777.110.000,,,,,(124.777.110.000),,124777110000.0,,,,,-124777110000.0,
Phát hành cổ phiếuvu đãi,Năm trước > Phát hành cổ phiếuvu đãi,Phát hành cổ phiếuvu đãi,239.039.900.000,,,,,(239.039.900.000),,239039900000.0,,,,,-239039900000.0,
Phát hành cổ phiếutheo Chương trình lựcchọn cán bộ quản lýcấp cao của Công ty,Năm trước > Phát hành cổ phiếutheo Chương trình lựcchọn cán bộ quản lýcấp cao của Công ty,Phát hành cổ phiếutheo Chương trình lựcchọn cán bộ quản lýcấp cao của Công ty,12.876.520.000,,,,,,12.876.520.000,12876520000.0,,,,,,12876520000.0
Lợi nhuận thuầntrong năm,Năm trước > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,,,,,,1.070.826.325.922,1.070.826.325.922,,,,,,1070826325922.0,1070826325922.0
Cổ tức bằng tiềncông bố,Năm trước > Cổ tức bằng tiềncông bố,Cổ tức bằng tiềncông bố,,,,,,(338.671.087.620),(338.671.087.620),,,,,,-338671087620.0,-338671087620.0
Thủ lao Hội đồng,Năm trước > Thủ lao Hội đồng,Thủ lao Hội đồng,,,,,,(8.350.000.000),(8.350.000.000),,,,,,-8350000000.0,-8350000000.0
Quản trị,Năm trước > Quản trị,Quản trị,,,,,,(47.671.338.327),(47.671.338.327),,,,,,-47671338327.0,-47671338327.0
"Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi",,,,,,,,,,,,,,
Số cuối năm,"Trích quỹ khenthường, phúc lợi > Số cuối năm",Số cuối năm,3.829.400.130.000,2.643.023.306.759,,10.709.490.423,2.216.611.139,2.444.093.640.820,8.929.443.179.141,3829400130000.0,2643023306759.0,,10709490423.0,2216611139.0,2444093640820.0,8929443179141.0
