row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí hoa hồng bán hàng,Chi phí bán hàng > Chi phí hoa hồng bán hàng,Chi phí hoa hồng bán hàng,349.107.097.215,267.299.706.881,349107097215.0,267299706881.0
"Chi phí tiếp thị, nhà mẫu","Chi phí bán hàng > Chi phí tiếp thị, nhà mẫu","Chi phí tiếp thị, nhà mẫu",135.159.775.232,110.068.633.657,135159775232.0,110068633657.0
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,12.442.434.477,27.131.553.340,12442434477.0,27131553340.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,1.336.986.294,1.088.787.358,1336986294.0,1088787358.0
Khác,Chi phí bán hàng > Khác,Khác,12.866.681.143,10.478.102.754,12866681143.0,10478102754.0
,,,510.912.974.361,416.066.783.990,510912974361.0,416066783990.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,379.772.805.508,389.641.206.854,379772805508.0,389641206854.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,194.677.098.872,102.005.311.164,194677098872.0,102005311164.0
Chi phí thuê,Chi phí quản lý doanh nghiệp > Chi phí thuê,Chi phí thuê,26.364.352.157,23.179.567.112,26364352157.0,23179567112.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,15.644.854.556,9.957.565.543,15644854556.0,9957565543.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,27.162.039.043,56.019.952.801,27162039043.0,56019952801.0
,,,643.621.150.136,580.803.603.474,643621150136.0,580803603474.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,1.154.534.124.497,996.870.387.464,1154534124497.0,996870387464.0
