row_label_raw,row_label_full,col_0,Số dàu năm,Tăng trong năm,Giám trong năm,VND Số cuối năm,numeric__Số dàu năm,numeric__Tăng trong năm,numeric__Giám trong năm,numeric__VND Số cuối năm
Cá nhân 1,Cá nhân 1,Cá nhân 1,49.518.248.580,-,-,49.518.248.580,49518248580.0,,,49518248580.0
Cá nhân 2,Cá nhân 2,Cá nhân 2,32.500.000.000,-,-,32.500.000.000,32500000000.0,,,32500000000.0
Cá nhân 3,Cá nhân 3,Cá nhân 3,23.270.964.170,-,(1.000.000.000),22.270.964.170,23270964170.0,,-1000000000.0,22270964170.0
Cá nhân 4,Cá nhân 4,Cá nhân 4,56.278.500.000,2.565.700.000,(56.844.200.000),2.000.000.000,56278500000.0,2565700000.0,-56844200000.0,2000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,161.567.712.750,2.565.700.000,(57.844.200.000),106.289.212.750,161567712750.0,2565700000.0,-57844200000.0,106289212750.0
