row_label_raw,row_label_full,col_0,Anabuki,NNH Mizuki,Paragon,VND Tống cộng,numeric__Anabuki,numeric__NNH Mizuki,numeric__Paragon,numeric__VND Tống cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,834.000.000,750.000.000.000,-,750.834.000.000,834000000.0,750000000000.0,,750834000000.0
Tăng trong năm (TM số 4.2),Giá trị đầu tư: > Tăng trong năm (TM số 4.2),Tăng trong năm (TM số 4.2),-,-,1.251.778.695.316,1.251.778.695.316,,,1251778695316.0,1251778695316.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,834.000.000,750.000.000.000,1.251.778.695.316,2.002.612.695.316,834000000.0,750000000000.0,1251778695316.0,2002612695316.0
Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,,,,
Số đầu năm,Phần lũy kế lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,4.802.456.701,48.468.950.474,-,53.271.407.175,4802456701.0,48468950474.0,,53271407175.0
"Phần lãi từ công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi mua: > Phần lãi từ công ty liên kết, liên doanh","Phần lãi từ công ty liên kết, liên doanh",2.204.639.811,22.340.884.698,-,24.545.524.509,2204639811.0,22340884698.0,,24545524509.0
Cổ tức cổ phiếu ưu đãi,Phần lũy kế lợi nhuận sau khi mua: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,(46.000.000.000),-,(46.000.000.000),,-46000000000.0,,-46000000000.0
Số cuối năm,Phần lũy kế lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,7.007.096.512,24.809.835.172,-,31.816.931.684,7007096512.0,24809835172.0,,31816931684.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,5.636.456.701,798.468.950.474,-,804.105.407.175,5636456701.0,798468950474.0,,804105407175.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,7.841.096.512,774.809.835.172,1.251.778.695.316,2.034.429.627.000,7841096512.0,774809835172.0,1251778695316.0,2034429627000.0
