row_label_raw,row_label_full,Thuế TNDN hiện hànhĐiều chính thuế TNDN trích thiếu các năm trước,Năm nay > 256.510.058.981434.380.477,VNDNăm trước > 205.660.274.875367.182.026,numeric__Năm nay > 256.510.058.981434.380.477,numeric__VNDNăm trước > 205.660.274.875367.182.026
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,256.944.439.458,206.027.456.901,256944439458.0,206027456901.0
Thu nhập thuế TNDN hoãn lại (TM số 35.3),Thu nhập thuế TNDN hoãn lại (TM số 35.3),Thu nhập thuế TNDN hoãn lại (TM số 35.3),(52.658.186.291),(44.078.280.206),-52658186291.0,-44078280206.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,204.286.253.167,161.949.176.695,204286253167.0,161949176695.0
