row_label_raw,row_label_full,col_0,Số cuối nămVND,Ngày đáo hạn,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối nămVND,numeric__Ngày đáo hạn,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,,,,
Vay 1,Ngân hàng TMCP Phương Đông > Vay 1,Vay 1,298.775.174.776,Ngày 1 tháng 6 năm 2023,"9,60% - 10,70%","Thừa 2479 và thừa 226, Tờ bản đồ số 5 và thừa 779,Tờ bản đồ số 6, Phường An Thạnh, HuyệnBến Lức, Tỉnh Long An của Nam Long VCD (TM số 11)",298775174776.0,,,
Vay 2,Ngân hàng TMCP Phương Đông > Vay 2,Vay 2,240.000.000.000,Ngày 13 tháng 5 năm 2023,"9,10% - 13,00%","Thừa 7689 và Thừa 582, Tờ bản đồ số 5, Phường AnThạnh, Huyện Bến Lức, Tỉnh Long An, sở hữu bồiSouthgate (TM số 11);Quyền sở hữu các hợp đồng mua bán các sản phẩmnhà thuộc dự án Khu Đô Thị Mới Vảm Cỏ Đông củaSouthgate",240000000000.0,,,
Vay 3,Ngân hàng TMCP Phương Đông > Vay 3,Vay 3,150.811.326.053,Ngày 22 tháng 12 năm 2023,"8,70% - 12,20%","Quyền sử dụng đất và các tài sản gắn liền với đất toalạc tại Số 147-149, Trần Trọng Cung, PhườngTân Thuận Đông, Quận 7, TP.HCM của Nam Khang(TM số 13 và 14)",150811326053.0,,,
Vay 4,Ngân hàng TMCP Phương Đông > Vay 4,Vay 4,10.817.826.777,Từ ngày 17 tháng 2 năm 2023đến ngày 23 tháng 9 năm 2023,"8,70% - 13,00%",Bảo lãnh bởi Công ty (TM số 38),10817826777.0,,,
