row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.019.644.770,379.912.652.717,404.932.297.487,25019644770.0,379912652717.0,404932297487.0
Chuyển từ chi phí xây dựng cơ bản đồ dang,Nguyên giá: > Chuyển từ chi phí xây dựng cơ bản đồ dang,Chuyển từ chi phí xây dựng cơ bản đồ dang,-,3.275.531.393,3.275.531.393,,3275531393.0,3275531393.0
Chuyển sang tài sản cố định,Nguyên giá: > Chuyển sang tài sản cố định,Chuyển sang tài sản cố định,-,(34.881.164.239),(34.881.164.239),,-34881164239.0,-34881164239.0
Khác,Nguyên giá: > Khác,Khác,-,(1.783.268.000),(1.783.268.000),,-1783268000.0,-1783268000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,25.019.644.770,346.523.751.871,371.543.396.641,25019644770.0,346523751871.0,371543396641.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,816.491.827,-,816.491.827,816491827.0,,816491827.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(9.277.351.302),(36.421.845.180),(45.699.196.482),-9277351302.0,-36421845180.0,-45699196482.0
Tăng trong năm,Giá trị khấu hao và hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(333.385.948),(13.762.587.588),(14.095.973.536),-333385948.0,-13762587588.0,-14095973536.0
Chuyển sang tài sản cố định,Giá trị khấu hao và hao mòn lũy kế: > Chuyển sang tài sản cố định,Chuyển sang tài sản cố định,-,22.628.037.817,22.628.037.817,,22628037817.0,22628037817.0
Khác,Giá trị khấu hao và hao mòn lũy kế: > Khác,Khác,-,2.755.486.420,2.755.486.420,,2755486420.0,2755486420.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(9.610.737.250),(24.800.908.531),(34.411.645.781),-9610737250.0,-24800908531.0,-34411645781.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,15.742.293.468,343.490.807.537,359.233.101.005,15742293468.0,343490807537.0,359233101005.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,15.408.907.520,321.722.843.340,337.131.750.860,15408907520.0,321722843340.0,337131750860.0
