row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,63.379.617.291,26.122.158.195,27.421.047.617,9.754.928.413,2.227.447.197,128.905.198.713,63379617291.0,26122158195.0,27421047617.0,9754928413.0,2227447197.0,128905198713.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,435.440.796,132.690.000,-,991.134.545,2.011.000.000,3.570.265.341,435440796.0,132690000.0,,991134545.0,2011000000.0,3570265341.0
Chuyển từbất động sản đầu tư,Nguyên giá: > Chuyển từbất động sản đầu tư,Chuyển từbất động sản đầu tư,34.881.164.239(30.082.014),1.181.584.000,-,-,-,36.062.748.239(30.082.014),,1181584000.0,,,,
Khác,Khác,Khác,34.881.164.239(30.082.014),-,-,-,-,36.062.748.239(30.082.014),,,,,,
Số cuối năm,Khác > Số cuối năm,Số cuối năm,98.666.140.312,27.436.432.195,27.421.047.617,10.746.062.958,4.238.447.197,168.508.130.279,98666140312.0,27436432195.0,27421047617.0,10746062958.0,4238447197.0,168508130279.0
Trong đó:Dã khấu hao hết,Khác > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,10.261.667.507,3.117.349.693,5.287.631.633,4.519.465.257,1.292.036.145,24.478.150.235,10261667507.0,3117349693.0,5287631633.0,4519465257.0,1292036145.0,24478150235.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(31.764.176.753),(13.189.289.877),(16.470.471.363),(6.775.937.176),(1.749.499.947),(69.949.375.116),-31764176753.0,-13189289877.0,-16470471363.0,-6775937176.0,-1749499947.0,-69949375116.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(632.178.186),(1.684.218.317),(3.810.258.812),(2.958.963.650),-,(9.085.618.965),-632178186.0,-1684218317.0,-3810258812.0,-2958963650.0,,-9085618965.0
Chuyển từbất động sản đầu tư,Giá trị khấu hao lũy kế: > Chuyển từbất động sản đầu tư,Chuyển từbất động sản đầu tư,(22.806.410.417),-,-,-,-,(22.806.410.417),-22806410417.0,,,,,-22806410417.0
Khác,Giá trị khấu hao lũy kế: > Khác,Khác,30.082.014,(51.665.618),-,-,-,(21.583.604),30082014.0,-51665618.0,,,,-21583604.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(55.172.683.342),(14.925.173.812),(20.280.730.175),(9.734.900.826),(1.749.499.947),(101.862.988.102),-55172683342.0,-14925173812.0,-20280730175.0,-9734900826.0,-1749499947.0,-101862988102.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,31.615.440.538,12.932.868.318,10.950.576.254,2.978.991.237,477.947.250,58.955.823.597,31615440538.0,12932868318.0,10950576254.0,2978991237.0,477947250.0,58955823597.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,43.493.456.970,12.511.258.383,7.140.317.442,1.011.162.132,2.488.947.250,66.645.142.177,43493456970.0,12511258383.0,7140317442.0,1011162132.0,2488947250.0,66645142177.0
Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 24.1),Giá trị còn lại: > Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 24.1),Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 24.1),1.181.197.006,-,-,-,-,1.181.197.006,1181197006.0,,,,,1181197006.0
