row_label_raw,row_label_full,col_0,Giá trị tài sản thuần theo số sách tại ngày mua VND,Các điều chỉnh giả trị hợp lý VND,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị tài sản thuần theo số sách tại ngày mua VND,numeric__Các điều chỉnh giả trị hợp lý VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.072.849.846,-,1.072.849.846,1072849846.0,,1072849846.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,318.900.000,-,318.900.000,318900000.0,,318900000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,14.070.483.726,(79.000.726),13.991.483.000,14070483726.0,-79000726.0,13991483000.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,885.476.303,-,885.476.303,885476303.0,,885476303.0
Tài sản cố định (Thuyết minh 9(a)),Tài sản > Tài sản cố định (Thuyết minh 9(a)),Tài sản cố định (Thuyết minh 9(a)),95.425.743.274,(11.957.013.480),83.468.729.794,95425743274.0,-11957013480.0,83468729794.0
Tài sản dài hạn khác(Thuyết minh 8(b)),Tài sản > Tài sản dài hạn khác(Thuyết minh 8(b)),Tài sản dài hạn khác(Thuyết minh 8(b)),266.794.245.836,167.751.962.164,434.546.208.000,266794245836.0,167751962164.0,434546208000.0
,,,378.567.698.985,155.715.947.958,534.283.646.943,378567698985.0,155715947958.0,534283646943.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,(10.784.810.390),-,(10.784.810.390),-10784810390.0,,-10784810390.0
Nợ dài hạn (*),Nợ phải trả > Nợ dài hạn (*),Nợ dài hạn (*),-,(31.143.189.592),(31.143.189.592),,-31143189592.0,-31143189592.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,367.782.888.595,124.572.758.366,492.355.646.961,367782888595.0,124572758366.0,492355646961.0
Lợi thế thương mại (Thuyết minh 11),Nợ phải trả > Lợi thế thương mại (Thuyết minh 11),Lợi thế thương mại (Thuyết minh 11),Lợi thế thương mại (Thuyết minh 11),Lợi thế thương mại (Thuyết minh 11),4.394.353.039,,,4394353039.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,,,496.750.000.000,,,496750000000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(1.072.849.846),,,-1072849846.0
Phải trả liên quan đến đầu tư vào công ty con (Thuyết minh 16),Nợ phải trả > Phải trả liên quan đến đầu tư vào công ty con (Thuyết minh 16),Phải trả liên quan đến đầu tư vào công ty con (Thuyết minh 16),,,(37.000.000.000),,,-37000000000.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,,,(458.677.150.154),,,-458677150154.0
