row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND
01,01,01,Doanh thu cung cấp dịch vụ,,2.007.397.494.749,1.892.131.002.372,,,2007397494749.0,1892131002372.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về cung cấp dịch vụ,24,2.007.397.494.749,1.892.131.002.372,,24.0,2007397494749.0,1892131002372.0
11,02 > 11,11,Giá vốn dịch vụ cung cấp,25,(1.348.668.597.428),(1.289.742.189.373),,25.0,-1348668597428.0,-1289742189373.0
20,02 > 20,20,Lợi nhuận gộp về cung cấp dịch vụ,,658.728.897.321,602.388.812.999,,,658728897321.0,602388812999.0
21,02 > 21,21,Doanh thu hoạt động tài chính,26,34.600.874.362,13.015.325.965,,26.0,34600874362.0,13015325965.0
22,02 > 22,22,Chi phí tài chính,,(5.019.819.879),(1.977.959.712),,,-5019819879.0,-1977959712.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,,(1.104.887.671),-,,,-1104887671.0,
24,02 > 24,24,Phần (lỗ)/lãi trong công ty liên kết,10(b),(19.722.583.786),4.441.262.368,,,-19722583786.0,4441262368.0
25,02 > 25,25,Chi phí bán hàng,27,(79.193.978.606),(48.235.093.940),,27.0,-79193978606.0,-48235093940.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,28,(105.390.698.465),(81.204.308.213),,28.0,-105390698465.0,-81204308213.0
30,02 > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,484.002.690.947,488.428.039.467,,,484002690947.0,488428039467.0
31,02 > 31,31,Thu nhập khác,29,1.255.173.608,13.376.093.649,,29.0,1255173608.0,13376093649.0
32,02 > 32,32,Chi phí khác,30,(8.345.134.523),(19.112.844.007),,30.0,-8345134523.0,-19112844007.0
40,02 > 40,40,Lỗ khác,,(7.089.960.915),(5.736.750.358),,,-7089960915.0,-5736750358.0
50,02 > 50,50,Tổng lợi nhuận kế toán trước thuế,,476.912.730.032,482.691.289.109,,,476912730032.0,482691289109.0
51,02 > 51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",31,(83.968.553.635),(68.761.169.702),,31.0,-83968553635.0,-68761169702.0
52,02 > 52,52,Chi phí thuế TNDN hoãn lại,31,194.950.346,(127.581.578),,31.0,194950346.0,-127581578.0
60,02 > 60,60,Lợi nhuận sau thuế TNDN,,393.139.126.743,413.802.537.829,,,393139126743.0,413802537829.0
61,02 > 61,61,Phân bổ cho Cổ đông Công ty,,314.293.593.407,349.944.708.596,,,314293593407.0,349944708596.0
62,02 > 62,62,Phân bổ cho Cổ đông không kiểm soát,,78.845.533.336,63.857.829.233,,,78845533336.0,63857829233.0
70,02 > 70,70,Lãi cơ bản trên cổ phiếu,22(a),2.451,5.392,,,2451.0,5392.0
71,02 > 71,71,Lãi suy giảm trên cổ phiếu,22(b),2.451,5.392,,,2451.0,5392.0
