row_label_raw,row_label_full,col_0,col_1,2022VND,2021VND,numeric__col_1,numeric__2022VND,numeric__2021VND
(i),(i),(i),Cung cấp dịch vụ,,,,,
(i),(i) > (i),(i),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,2.971.028.900,3.615.007.100,,2971028900.0,3615007100.0
(i),(i) > (i),(i),Công ty TNHH Tuyên Container T.S. Hà Nội,27.860.220.523,33.342.303.820,,27860220523.0,33342303820.0
(i),(i) > (i),(i),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),255.748.021.821,231.961.383.039,,255748021821.0,231961383039.0
(i),(i) > (i),(i),,286.579.271.244,268.918.693.959,,286579271244.0,268918693959.0
(ii),(ii),(ii),Mua dịch vụ,,,,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,15.652.983.873,52.466.168.533,,15652983873.0,52466168533.0
(ii),(ii) > (ii),(ii),Công ty TNHH Tuyên Container T.S. Hà Nội,70.830.300,-,,70830300.0,
(ii),(ii) > (ii),(ii),,15.723.814.173,52.466.168.533,,15723814173.0,52466168533.0
(iii),(iii),(iii),Chi phí hoa hồng,,,,,
(iii),(iii) > (iii),(iii),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),12.504.360.000,14.692.106.025,,12504360000.0,14692106025.0
