row_label_raw,row_label_full,col_0,Công ty Cổ phầnCảng cạn Quảng BìnhVND,numeric__Công ty Cổ phầnCảng cạn Quảng BìnhVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,
Tăng do hợp nhất kinh doanh (Thuyết minh 3),Tại ngày 1 tháng 1 năm 2022 > Tăng do hợp nhất kinh doanh (Thuyết minh 3),Tăng do hợp nhất kinh doanh (Thuyết minh 3),4.394.353.039,4394353039.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 1 tháng 1 năm 2022 > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,4.394.353.039,4394353039.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,
Khấu hao trong kỳ,Tại ngày 1 tháng 1 năm 2022 > Khấu hao trong kỳ,Khấu hao trong kỳ,(221.523.550),-221523550.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 1 tháng 1 năm 2022 > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,4.172.829.489,4172829489.0
